Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3,Total Connectivity R3
289,16,1.5212561,100,0.024767802,0.453854523,0.199143469
290,10,1.2621337,66,0.015479876,0.354854927,0.12633833
291,50,1.6700469,76,0.077399381,0.51070113,0.147751606
292,28,1.5517242,81,0.043343653,0.465495082,0.158458244
293,22,1.5352089,129,0.034055728,0.459185292,0.26124197
294,40,2.0887909,265,0.061919505,0.670685318,0.552462527
295,6,1.0207884,33,0.009287926,0.262647202,0.055674518
296,8,1.1561403,46,0.012383901,0.314359379,0.083511777
297,40,1.6673985,76,0.061919505,0.509689289,0.147751606
298,108,2.0789747,104,0.167182663,0.666934968,0.207708779
299,50,1.787379,103,0.077399381,0.555528711,0.205567452
300,12,1.3455029,81,0.018575851,0.386706736,0.158458244
301,18,1.4896638,91,0.027863777,0.441784456,0.17987152
302,21,1.6857162,89,0.03250774,0.5166877,0.175588865
303,47,1.8518485,119,0.072755418,0.580159752,0.239828694
304,56,1.8833622,107,0.086687307,0.59219979,0.214132762
305,46,1.7265038,90,0.07120743,0.532270899,0.177730193
306,12,1.3815587,86,0.018575851,0.400482117,0.169164882
307,24,1.7164973,113,0.037151703,0.528447843,0.226980728
308,71,2.0999382,141,0.109907121,0.674944225,0.286937901
309,108,2.1715031,155,0.167182663,0.702286115,0.316916488
310,61,1.8833622,100,0.094427245,0.59219979,0.199143469
311,68,1.9787503,127,0.105263158,0.628643507,0.256959315
312,185,2.2465236,154,0.286377709,0.730948243,0.314775161
313,26,1.7626089,117,0.040247678,0.546065115,0.235546039
314,8,1.1460608,60,0.012383901,0.310508432,0.113490364
315,6,0.8870222,30,0.009287926,0.211540853,0.049250535
316,8,1,24,0.012383901,0.254704842,0.03640257
317,22,1.2989333,32,0.034055728,0.368914482,0.053533191
318,12,1.2222222,23,0.018575851,0.339606449,0.034261242
319,8,0.98558021,21,0.012383901,0.249195657,0.029978587
320,6,0.8619656,19,0.009287926,0.201967797,0.025695931
321,6,0.84912294,15,0.009287926,0.197061165,0.017130621
322,6,0.84912294,14,0.009287926,0.197061165,0.014989293
323,6,0.84912294,15,0.009287926,0.197061165,0.017130621
324,6,0.8619656,16,0.009287926,0.201967797,0.019271949
325,8,0.98510355,19,0.012383901,0.249013545,0.025695931
326,14,1.1058542,28,0.021671827,0.295147209,0.04496788
327,16,1.4724894,53,0.024767802,0.435222851,0.098501071
328,28,1.4635203,49,0.043343653,0.431796141,0.08993576
329,8,1.0952908,38,0.012383901,0.291111385,0.066381156
330,8,1,26,0.012383901,0.254704842,0.040685225
331,18,1.2222222,23,0.027863777,0.339606449,0.034261242
332,8,0.98558021,20,0.012383901,0.249195657,0.027837259
333,6,0.8870222,21,0.009287926,0.211540853,0.029978587
334,8,1,23,0.012383901,0.254704842,0.034261242
335,22,1.3057258,26,0.034055728,0.371509606,0.040685225
336,8,1,23,0.012383901,0.254704842,0.034261242
337,6,0.8870222,22,0.009287926,0.211540853,0.032119914
338,8,1,23,0.012383901,0.254704842,0.034261242
339,22,1.3057258,26,0.034055728,0.371509606,0.040685225
340,22,1.3057258,25,0.034055728,0.371509606,0.038543897
341,8,0.98558021,19,0.012383901,0.249195657,0.025695931
342,4,0.69804502,13,0.00619195,0.139340748,0.012847966
343,0,0.33333334,8,0,0,0.002141328
344,46,1.9233313,191,0.07120743,0.607470276,0.394004283
345,13,1.390353,85,0.020123839,0.403842043,0.167023555
346,38,1.5365106,58,0.058823529,0.459682616,0.109207709
347,30,1.5395753,58,0.046439628,0.460853507,0.109207709
348,6,0.84912294,14,0.009287926,0.197061165,0.014989293
349,6,0.84912294,14,0.009287926,0.197061165,0.014989293
350,6,0.84912294,15,0.009287926,0.197061165,0.017130621
351,6,0.8619656,19,0.009287926,0.201967797,0.025695931
352,8,0.98558021,21,0.012383901,0.249195657,0.029978587
353,12,1.2222222,24,0.018575851,0.339606449,0.03640257
354,12,1.2222222,24,0.018575851,0.339606449,0.03640257
355,8,0.98558021,21,0.012383901,0.249195657,0.029978587
356,6,0.8619656,18,0.009287926,0.201967797,0.023554604
357,6,0.87255627,12,0.009287926,0.206014039,0.010706638
358,4,0.70398736,9,0.00619195,0.141611062,0.004282655
359,0,0.33333334,7,0,0,0
360,16,1.3873683,44,0.024767802,0.402701716,0.079229122
361,28,1.569167,46,0.043343653,0.472159231,0.083511777
362,24,1.4644111,44,0.037151703,0.432136478,0.079229122
363,22,1.471094,40,0.034055728,0.434689729,0.070663812
364,22,1.6071428,95,0.034055728,0.486668161,0.188436831
365,10,1.1561403,52,0.015479876,0.314359379,0.096359743
366,8,1.0697098,45,0.012383901,0.281337978,0.08137045
367,12,1.2063863,28,0.018575851,0.333556228,0.04496788
368,12,1.2063863,28,0.018575851,0.333556228,0.04496788
369,10,1.1191936,37,0.015479876,0.300243623,0.064239829
370,8,1.0445806,29,0.012383901,0.271737185,0.047109208
371,30,1.4635203,48,0.046439628,0.431796141,0.087794433
372,26,1.3873369,45,0.040247678,0.40268972,0.08137045
373,22,1.390353,56,0.034055728,0.403842043,0.104925054
374,6,0.8619656,21,0.009287926,0.201967797,0.029978587
