Ref,Choice R3,Integration [HH] R3,Total Depth R3,Choice R3 normal,Integration [HH] R3 normal,Total Depth R3 normal
302,18,1.3845592,31,0.111111111,0.505494365,0.198412698
303,16,1.3006579,29,0.098765432,0.465149435,0.182539683
304,54,1.9174613,50,0.333333333,0.761746632,0.349206349
305,54,1.9341822,47,0.333333333,0.769787074,0.325396825
306,0,0.33333334,6,0,0,0
307,4,0.70398736,7,0.024691358,0.178233361,0.007936508
308,6,0.87255627,9,0.037037037,0.259291712,0.023809524
309,6,0.84912294,12,0.037037037,0.248023519,0.047619048
310,6,0.8619656,15,0.037037037,0.254199063,0.071428571
311,8,1.0445806,26,0.049382716,0.342011642,0.158730159
312,18,1.5,51,0.111111111,0.561005437,0.357142857
313,42,1.7812788,58,0.259259259,0.696261669,0.412698413
314,18,1.4135897,43,0.111111111,0.519454024,0.293650794
315,20,1.4803609,45,0.12345679,0.551561744,0.30952381
316,54,1.9051077,53,0.333333333,0.755806257,0.373015873
317,28,1.5405476,35,0.172839506,0.580503229,0.23015873
318,0,0.87255627,9,0,0.259291712,0.023809524
319,10,1.2736844,10,0.061728395,0.452178909,0.031746032
320,8,0.98558021,17,0.049382716,0.313640608,0.087301587
321,8,1.0207884,23,0.049382716,0.330570882,0.134920635
322,14,1.3006579,29,0.086419753,0.465149435,0.182539683
323,22,1.471094,30,0.135802469,0.547105646,0.19047619
324,35,1.6828449,39,0.216049383,0.648928566,0.261904762
325,60,1.9341822,47,0.37037037,0.769787074,0.325396825
326,22,1.6132691,37,0.135802469,0.615472221,0.246031746
327,10,1.1365665,28,0.061728395,0.386244148,0.174603175
328,6,0.8870222,18,0.037037037,0.266247825,0.095238095
329,6,0.84912294,12,0.037037037,0.248023519,0.047619048
330,6,0.8619656,15,0.037037037,0.254199063,0.071428571
331,8,0.98558021,17,0.049382716,0.313640608,0.087301587
332,12,1.2222222,18,0.074074074,0.427432702,0.095238095
333,40,1.7495173,41,0.24691358,0.680988777,0.277777778
334,12,1.2063863,21,0.074074074,0.419817823,0.119047619
335,10,1.1191936,25,0.061728395,0.377890184,0.150793651
336,14,1.2989333,26,0.086419753,0.464320141,0.158730159
337,16,1.2989333,26,0.098765432,0.464320141,0.158730159
338,20,1.4635203,36,0.12345679,0.543463743,0.238095238
339,14,1.3057258,23,0.086419753,0.467586394,0.134920635
340,8,1,20,0.049382716,0.320574534,0.111111111
341,6,0.8870222,18,0.037037037,0.266247825,0.095238095
342,8,0.98558021,17,0.049382716,0.313640608,0.087301587
343,12,1.2222222,18,0.074074074,0.427432702,0.095238095
344,24,1.5668709,21,0.148148148,0.593161099,0.119047619
345,20,1.471094,30,0.12345679,0.547105646,0.19047619
346,16,1.3006579,29,0.098765432,0.465149435,0.182539683
347,16,1.3845592,31,0.098765432,0.505494365,0.198412698
348,10,1.1365665,28,0.061728395,0.386244148,0.174603175
349,12,1.2063863,21,0.074074074,0.419817823,0.119047619
350,46,1.8,46,0.283950617,0.705263979,0.317460317
351,20,1.5364467,38,0.12345679,0.578531263,0.253968254
352,10,1.1365665,28,0.061728395,0.386244148,0.174603175
353,8,1.0445806,26,0.049382716,0.342011642,0.158730159
354,14,1.3076391,32,0.086419753,0.468506427,0.206349206
355,31,1.7852225,52,0.191358025,0.698158043,0.365079365
356,44,1.7909094,49,0.271604938,0.700892656,0.341269841
357,32,1.6037242,43,0.197530864,0.610882443,0.293650794
358,56,1.9174613,50,0.345679012,0.761746632,0.349206349
359,14,1.4028426,40,0.086419753,0.514286154,0.26984127
360,9,1.2552096,36,0.055555556,0.443295083,0.238095238
361,19,1.6118186,52,0.117283951,0.614774731,0.365079365
362,35,1.6684235,45,0.216049383,0.641993865,0.30952381
363,32,1.6037242,43,0.197530864,0.610882443,0.293650794
364,16,1.3873369,34,0.098765432,0.506830055,0.222222222
365,8,1.0207884,23,0.049382716,0.330570882,0.134920635
366,6,0.8870222,18,0.037037037,0.266247825,0.095238095
367,8,1,20,0.049382716,0.320574534,0.111111111
368,14,1.3006579,29,0.086419753,0.465149435,0.182539683
369,30,1.606352,40,0.185185185,0.612146052,0.26984127
370,10,1.2989333,26,0.061728395,0.464320141,0.158730159
371,4,1,20,0.024691358,0.320574534,0.111111111
372,6,1.0445806,26,0.037037037,0.342011642,0.158730159
373,18,1.4666082,39,0.111111111,0.544948596,0.261904762
374,12,1.2222222,18,0.074074074,0.427432702,0.095238095
375,8,1.0207884,23,0.049382716,0.330570882,0.134920635
376,10,1.1561403,31,0.061728395,0.395656441,0.198412698
377,22,1.606352,40,0.135802469,0.612146052,0.26984127
378,22,1.606352,40,0.135802469,0.612146052,0.26984127
379,10,1.1561403,31,0.061728395,0.395656441,0.198412698
380,8,1.0952908,32,0.049382716,0.36639624,0.206349206
381,18,1.4644111,33,0.111111111,0.543892094,0.214285714
382,58,1.8861139,62,0.358024691,0.746672864,0.444444444
383,40,1.7265038,56,0.24691358,0.669922463,0.396825397
384,38,1.7426945,68,0.234567901,0.677707953,0.492063492
385,46,1.8427275,75,0.283950617,0.725810002,0.547619048
386,34,1.6474625,31,0.209876543,0.631914521,0.198412698
387,16,1.3988512,25,0.098765432,0.512366842,0.150793651
388,12,1.2241485,30,0.074074074,0.428358987,0.19047619
389,16,1.4135897,43,0.098765432,0.519454024,0.293650794
390,30,1.8328277,40,0.185185185,0.721049566,0.26984127
391,0,1.5517242,50,0,0.585877629,0.349206349
392,46,1.9415878,61,0.283950617,0.773348144,0.436507937
393,29,2.0004239,60,0.179012346,0.801640177,0.428571429
394,43,1.9415878,61,0.265432099,0.773348144,0.436507937
395,58,1.9174613,50,0.358024691,0.761746632,0.349206349
396,52,1.8900454,59,0.320987654,0.748563372,0.420634921
397,55,2.0502288,62,0.339506173,0.825589451,0.444444444
398,57,1.8839941,65,0.351851852,0.745653533,0.468253968
399,0,1.3088794,45,0,0.46910284,0.30952381
400,36,1.6700469,54,0.222222222,0.642774496,0.380952381
401,36,1.6666666,48,0.222222222,0.641149039,0.333333333
402,16,1.4028426,40,0.098765432,0.514286154,0.26984127
403,8,1.0207884,23,0.049382716,0.330570882,0.134920635
404,6,0.8619656,15,0.037037037,0.254199063,0.071428571
405,6,0.8619656,15,0.037037037,0.254199063,0.071428571
406,8,1.0207884,23,0.049382716,0.330570882,0.134920635
407,16,1.3873369,34,0.098765432,0.506830055,0.222222222
408,36,1.6666666,48,0.222222222,0.641149039,0.333333333
409,36,1.6734514,42,0.222222222,0.64441159,0.285714286
410,28,1.5395753,44,0.172839506,0.580035687,0.301587302
411,32,1.6037242,43,0.197530864,0.610882443,0.293650794
412,18,1.4028426,40,0.111111111,0.514286154,0.26984127
413,18,1.3873369,34,0.111111111,0.506830055,0.222222222
414,14,1.3076391,32,0.086419753,0.468506427,0.206349206
415,8,1,20,0.049382716,0.320574534,0.111111111
416,6,0.8619656,15,0.037037037,0.254199063,0.071428571
417,6,0.8619656,15,0.037037037,0.254199063,0.071428571
418,8,1,20,0.049382716,0.320574534,0.111111111
419,14,1.2989333,26,0.086419753,0.464320141,0.158730159
420,18,1.3938289,37,0.111111111,0.50995181,0.246031746
421,18,1.3845592,31,0.111111111,0.505494365,0.198412698
422,0,1.2989333,26,0,0.464320141,0.158730159
423,0,1.3006579,29,0,0.465149435,0.182539683
424,0,1.3006579,29,0,0.465149435,0.182539683
425,38,1.7572933,30,0.234567901,0.684727958,0.19047619
426,0,1.1561403,31,0,0.395656441,0.198412698
427,32,1.6132691,37,0.197530864,0.615472221,0.246031746
428,12,1.2222222,18,0.074074074,0.427432702,0.095238095
429,8,0.98558021,17,0.049382716,0.313640608,0.087301587
430,6,0.8870222,18,0.037037037,0.266247825,0.095238095
431,8,1.0207884,23,0.049382716,0.330570882,0.134920635
432,16,1.4135897,43,0.098765432,0.519454024,0.293650794
433,0,1.1365665,28,0,0.386244148,0.174603175
434,32,1.6042534,46,0.197530864,0.611136915,0.317460317
435,0,0.33333334,6,0,0,0
436,4,0.69804502,10,0.024691358,0.175375917,0.031746032
437,8,1,20,0.049382716,0.320574534,0.111111111
438,16,1.4135897,43,0.098765432,0.519454024,0.293650794
439,10,1.3873683,28,0.061728395,0.506845154,0.174603175
440,12,1.4644111,33,0.074074074,0.543892094,0.214285714
441,24,1.606352,40,0.148148148,0.612146052,0.26984127
442,41,1.875,45,0.25308642,0.741328614,0.30952381
443,0,1.569167,29,0,0.594265206,0.182539683
444,0,1.2241485,30,0,0.428358987,0.19047619
445,22,1.6261337,34,0.135802469,0.621658316,0.222222222
446,27,1.8294003,32,0.166666667,0.71940146,0.206349206
447,0,1,20,0,0.320574534,0.111111111
448,23,1.7925211,35,0.141975309,0.701667661,0.23015873
449,12,1.2063863,21,0.074074074,0.419817823,0.119047619
450,8,1,20,0.049382716,0.320574534,0.111111111
451,8,1,20,0.049382716,0.320574534,0.111111111
452,12,1.2052853,24,0.074074074,0.419288394,0.142857143
453,24,1.5154221,24,0.148148148,0.568421336,0.142857143
454,20,1.3845592,31,0.12345679,0.505494365,0.198412698
455,26,1.6042534,46,0.160493827,0.611136915,0.317460317
456,48,1.7821976,55,0.296296296,0.696703485,0.388888889
457,28,1.5364467,38,0.172839506,0.578531263,0.253968254
458,9,1.3873683,28,0.055555556,0.506845154,0.174603175
459,5,1.1365665,28,0.030864198,0.386244148,0.174603175
460,14,1.471094,30,0.086419753,0.547105646,0.19047619
461,27,1.6828449,39,0.166666667,0.648928566,0.261904762
462,0,1.1561403,31,0,0.395656441,0.198412698
463,16,1.3873369,34,0.098765432,0.506830055,0.222222222
464,8,1.0445806,26,0.049382716,0.342011642,0.158730159
465,8,1.0207884,23,0.049382716,0.330570882,0.134920635
466,14,1.3057258,23,0.086419753,0.467586394,0.134920635
467,16,1.3873369,34,0.098765432,0.506830055,0.222222222
468,8,1.0207884,23,0.049382716,0.330570882,0.134920635
469,6,0.8870222,18,0.037037037,0.266247825,0.095238095
470,8,0.98558021,17,0.049382716,0.313640608,0.087301587
471,12,1.2123377,27,0.074074074,0.422679624,0.166666667
472,19,1.6734514,42,0.117283951,0.64441159,0.285714286
473,23,1.6734514,42,0.141975309,0.64441159,0.285714286
474,25,1.6734514,42,0.154320988,0.64441159,0.285714286
475,44,1.787379,67,0.271604938,0.699195022,0.484126984
