Cluster_Kmeans_809962,Ref,x1,y1,x2,y2,Choice R7,Integration [HH] R7,Total Connectivity R7,choice归一化,integration归一化,connectivity归一化
2,536,67930.12034,5631.93027,67942.33332,5497.309429,844,1.3247079,1558,0.012129399,0.655742591,0.536695652
2,537,67796.96164,5585.088562,67939.57555,5566.588055,12,1.1751783,1027,0.000172456,0.557329475,0.352
3,538,67834.78176,5623.270459,67837.14556,5677.984856,3,1.0334531,663,4.3114E-05,0.464052837,0.225391304
2,539,67757.67115,5781.792549,67909.60398,5764.372403,0,1.1734678,1027,0,0.556203707,0.352
3,540,67936.3453,5649.518397,67989.55088,5812.197255,53,1.1478533,722,0.00076168,0.539345488,0.245913043
2,541,68020.09939,4280.668715,68064.06975,4369.185503,2421,1.4488723,2145,0.034792981,0.737461564,0.740869565
2,542,68010.54941,4059.258366,68026.93034,4309.249586,1911,1.2922932,1641,0.027463605,0.634408811,0.565565217
3,543,67761.89894,4182.795992,68100.03626,4141.844283,123,1.1191558,1066,0.001767673,0.520458189,0.365565217
2,544,68006.04249,4137.161091,68098.18679,4081.921196,1096,1.1719476,1160,0.015750974,0.555203186,0.39826087
3,545,68022.5085,3524.944467,68077.58257,4118.432027,2241,1.1350213,838,0.032206142,0.53090009,0.28626087
3,546,68019.81334,3572.371459,68071.21632,3359.252575,449,1.0195004,531,0.006452726,0.454869848,0.179478261
3,547,67925.73759,3375.715617,68403.05311,3382.643784,411,1.0628024,416,0.005906615,0.48336912,0.139478261
3,548,68379.8063,2423.690665,68398.47978,3626.194771,2142,1.2104033,454,0.030783381,0.580512858,0.152695652
3,549,68020.22598,3663.046057,68603.21108,3579.832796,1970,1.1517322,607,0.028311513,0.541898392,0.205913043
3,550,68523.553,3866.984146,68555.14332,3577.172634,366,1.0128354,409,0.005259905,0.450483269,0.137043478
3,551,68513.97258,3851.647476,68698.65585,3970.465007,250,0.90832728,297,0.003592832,0.381701103,0.098086957
3,552,68692.34788,4024.68565,68695.05066,3963.926632,198,0.85137373,277,0.002845523,0.344217045,0.091130435
3,553,68677.03264,4043.138408,68695.05066,4008.933263,202,0.86262375,327,0.002903008,0.351621261,0.108521739
3,554,68676.13195,4029.636419,68719.37491,4137.202359,323,0.94221807,382,0.004641938,0.404006374,0.127652174
3,555,68709.49599,4138.274386,68739.22544,4127.922874,136,0.96122557,378,0.0019545,0.416516187,0.12626087
3,556,68732.23815,4121.199061,68739.44542,4381.877751,285,1.1048309,420,0.004095828,0.511030236,0.140869565
3,557,68585.26224,3581.418021,68875.63757,3636.507396,148,0.99028558,382,0.002126956,0.435642073,0.127652174
3,558,68858.32274,3636.052131,68969.50128,3606.915209,0,0.83748788,233,0,0.335078053,0.075826087
3,559,68577.36699,3588.875389,68609.04864,3437.823894,616,1.1450002,430,0.008852737,0.537467717,0.144347826
