Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
324,6,0.84912294,14,0.007272727,0.194087149,0.0155902
325,6,0.84912294,14,0.007272727,0.194087149,0.0155902
326,6,0.84912294,14,0.007272727,0.194087149,0.0155902
327,6,0.84912294,14,0.007272727,0.194087149,0.0155902
328,6,0.84912294,14,0.007272727,0.194087149,0.0155902
329,6,0.84912294,14,0.007272727,0.194087149,0.0155902
330,8,1.1561403,49,0.00969697,0.309615117,0.093541203
331,16,1.3873369,61,0.019393939,0.396612391,0.120267261
332,15,1.5405476,66,0.018181818,0.454264247,0.131403118
333,24,1.4135897,81,0.029090909,0.406491091,0.16481069
334,6,0.84912294,14,0.007272727,0.194087149,0.0155902
335,6,0.84912294,15,0.007272727,0.194087149,0.017817372
336,6,0.8619656,19,0.007272727,0.198919731,0.026726058
337,8,0.98558021,21,0.00969697,0.245434836,0.031180401
338,12,1.2222222,23,0.014545455,0.334481162,0.035634744
339,12,1.2222222,25,0.014545455,0.334481162,0.040089087
340,8,1.0207884,37,0.00969697,0.258683372,0.066815145
341,10,1.1981546,70,0.012121212,0.325424733,0.140311804
342,26,1.7372102,127,0.031515152,0.528266677,0.267260579
343,66,2.136039,184,0.08,0.678342492,0.394209354
344,34,1.9533483,167,0.041212121,0.609597567,0.356347439
345,10,1.2829794,88,0.012121212,0.357343569,0.180400891
346,8,1.0697098,51,0.00969697,0.27709207,0.097995546
347,30,1.8344153,93,0.036363636,0.564844112,0.191536748
348,12,1.3455029,70,0.014545455,0.38087062,0.140311804
349,69,2.1565294,256,0.083636364,0.686052852,0.554565702
350,148,2.2405958,201,0.179393939,0.717686308,0.432071269
351,26,1.3845592,61,0.031515152,0.395567166,0.120267261
352,18,1.5717616,112,0.021818182,0.466009805,0.233853007
353,28,1.8348413,143,0.033939394,0.565004412,0.302895323
354,165,2.2962859,110,0.2,0.73864201,0.229398664
355,141,2.3406782,100,0.170909091,0.755346447,0.207126949
