Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
321,18,1.471094,48,0.1125,0.557171903,0.17826087
322,14,1.3006579,44,0.0875,0.473707771,0.160869565
323,12,1.2241485,43,0.075,0.436240411,0.156521739
324,18,1.471094,48,0.1125,0.557171903,0.17826087
325,18,1.4864661,43,0.1125,0.564699762,0.156521739
326,10,1.1058542,32,0.0625,0.3783106,0.108695652
327,6,0.91666669,31,0.0375,0.285663729,0.104347826
328,8,0.98558021,24,0.05,0.319411316,0.073913043
329,12,1.2063863,31,0.075,0.427542098,0.104347826
330,12,1.2052853,37,0.075,0.427002928,0.130434783
331,10,1.1365665,42,0.0625,0.393350697,0.152173913
332,16,1.4028426,60,0.1,0.523748562,0.230434783
333,40,1.7269484,81,0.25,0.682466166,0.32173913
334,36,1.6666666,79,0.225,0.652945611,0.313043478
335,18,1.3873369,54,0.1125,0.516155278,0.204347826
336,18,1.3938289,57,0.1125,0.51933447,0.217391304
337,14,1.3076391,49,0.0875,0.477126529,0.182608696
338,8,1,30,0.05,0.32647282,0.1
339,6,0.8870222,25,0.0375,0.271146548,0.07826087
340,8,0.98558021,24,0.05,0.319411316,0.073913043
341,12,1.2052853,35,0.075,0.427002928,0.12173913
342,36,1.7257152,86,0.225,0.681862256,0.343478261
343,30,1.6037242,71,0.1875,0.622122137,0.27826087
344,30,1.6037242,68,0.1875,0.622122137,0.265217391
345,18,1.3938289,56,0.1125,0.51933447,0.213043478
346,16,1.3006579,44,0.1,0.473707771,0.160869565
347,10,1.1492875,19,0.0625,0.399580288,0.052173913
348,8,0.98558021,25,0.05,0.319411316,0.07826087
349,8,1.0445806,43,0.05,0.348304352,0.156521739
350,16,1.4135897,75,0.1,0.529011516,0.295652174
351,30,1.6261337,54,0.1875,0.633096276,0.204347826
352,22,1.4864661,45,0.1375,0.564699762,0.165217391
353,10,1.1492875,19,0.0625,0.399580288,0.052173913
354,8,0.98558021,26,0.05,0.319411316,0.082608696
355,8,1.0697098,43,0.05,0.360610353,0.156521739
356,18,1.4635203,55,0.1125,0.553462992,0.208695652
357,0,0.98558021,26,0,0.319411316,0.082608696
358,12,1.2222222,28,0.075,0.435297084,0.091304348
359,8,0.98558021,23,0.05,0.319411316,0.069565217
360,6,0.8619656,19,0.0375,0.2588761,0.052173913
361,6,0.84912294,15,0.0375,0.252586931,0.034782609
362,6,0.84912294,14,0.0375,0.252586931,0.030434783
363,6,0.84912294,14,0.0375,0.252586931,0.030434783
364,6,0.84912294,14,0.0375,0.252586931,0.030434783
365,6,0.84912294,14,0.0375,0.252586931,0.030434783
366,6,0.84912294,14,0.0375,0.252586931,0.030434783
367,6,0.84912294,14,0.0375,0.252586931,0.030434783
368,6,0.84912294,14,0.0375,0.252586931,0.030434783
369,6,0.84912294,16,0.0375,0.252586931,0.039130435
370,6,0.8870222,25,0.0375,0.271146548,0.07826087
371,10,1.1,29,0.0625,0.375443744,0.095652174
372,16,1.4744722,31,0.1,0.558826239,0.104347826
373,20,1.4244281,37,0.125,0.534319181,0.130434783
374,0,1.3746208,80,0,0.509928086,0.317391304
375,46,1.8,85,0.2875,0.718240209,0.339130435
376,68,2.0270002,124,0.425,0.829404303,0.508695652
377,68,2.0229185,129,0.425,0.827405457,0.530434783
378,32,1.8839941,116,0.2,0.759372895,0.473913043
379,13,1.390353,90,0.08125,0.51763229,0.360869565
380,15,1.5,94,0.09375,0.571327438,0.37826087
381,18,1.4382962,83,0.1125,0.541110517,0.330434783
382,24,1.6178579,94,0.15,0.62904354,0.37826087
383,32,1.606352,60,0.2,0.623408995,0.230434783
384,40,1.7265038,86,0.25,0.682248441,0.343478261
385,32,1.606352,60,0.2,0.623408995,0.230434783
386,14,1.3006579,42,0.0875,0.473707771,0.152173913
387,8,1,28,0.05,0.32647282,0.091304348
388,6,0.8619656,21,0.0375,0.2588761,0.060869565
389,6,0.8619656,21,0.0375,0.2588761,0.060869565
390,8,1,28,0.05,0.32647282,0.091304348
391,14,1.3006579,42,0.0875,0.473707771,0.152173913
392,0,0.80638385,28,0,0.231657204,0.091304348
393,14,1.5154221,37,0.0875,0.578879783,0.130434783
394,14,1.2989333,34,0.0875,0.472863218,0.117391304
395,8,1,27,0.05,0.32647282,0.086956522
396,6,0.8619656,20,0.0375,0.2588761,0.056521739
397,6,0.84912294,15,0.0375,0.252586931,0.034782609
398,6,0.84912294,15,0.0375,0.252586931,0.034782609
399,6,0.8619656,20,0.0375,0.2588761,0.056521739
400,8,1,29,0.05,0.32647282,0.095652174
401,14,1.3076391,50,0.0875,0.477126529,0.186956522
402,14,1.3076391,54,0.0875,0.477126529,0.204347826
403,14,1.3443909,70,0.0875,0.495124225,0.273913043
404,28,1.7820429,109,0.175,0.709446451,0.443478261
405,14,1.31797,58,0.0875,0.482185666,0.22173913
406,14,1.3443909,71,0.0875,0.495124225,0.27826087
407,28,1.7820429,109,0.175,0.709446451,0.443478261
408,24,1.4864661,43,0.15,0.564699762,0.156521739
409,14,1.4666082,76,0.0875,0.554975165,0.3
410,0,0.80638385,34,0,0.231657204,0.117391304
411,14,1.5364467,76,0.0875,0.589175724,0.3
412,5,1.3304729,68,0.03125,0.488308452,0.265217391
413,17,1.7257152,98,0.10625,0.681862256,0.395652174
414,58,1.9491093,106,0.3625,0.79126041,0.430434783
415,71,2.0986035,115,0.44375,0.8644691,0.469565217
416,56,2.0986035,113,0.35,0.8644691,0.460869565
417,59,1.9594067,103,0.36875,0.796303142,0.417391304
418,54,1.8861139,109,0.3375,0.760410981,0.443478261
419,31,1.7852225,93,0.19375,0.71100353,0.373913043
420,35,1.8900454,106,0.21875,0.762336273,0.430434783
421,36,1.6666666,76,0.225,0.652945611,0.3
422,20,1.5110798,93,0.125,0.576753318,0.373913043
423,22,1.5887082,106,0.1375,0.614768663,0.430434783
424,36,1.6700469,89,0.225,0.654600975,0.356521739
425,36,1.6794915,94,0.225,0.659226083,0.37826087
426,36,1.7269484,80,0.225,0.682466166,0.317391304
427,32,1.606352,63,0.2,0.623408995,0.243478261
428,14,1.2989333,43,0.0875,0.472863218,0.156521739
429,10,1.1981546,62,0.0625,0.423510958,0.239130435
430,20,1.5395753,77,0.125,0.590707828,0.304347826
431,24,1.471094,47,0.15,0.557171903,0.173913043
432,0,1.1365665,42,0,0.393350697,0.152173913
433,58,2.2099249,92,0.3625,0.918984218,0.369565217
434,56,2.138299,77,0.35,0.883908353,0.304347826
435,0,1.4644111,65,0,0.553899225,0.252173913
436,25,1.8135039,81,0.15625,0.724853193,0.32173913
437,46,2.0855293,79,0.2875,0.858066544,0.313043478
438,0,1.3873369,66,0,0.516155278,0.256521739
439,15,1.6261337,68,0.09375,0.633096276,0.265217391
440,14,1.5365106,73,0.0875,0.589207016,0.286956522
441,18,1.6132691,58,0.1125,0.626796362,0.22173913
442,8,1.1191936,40,0.05,0.384843027,0.143478261
443,6,0.8870222,31,0.0375,0.271146548,0.104347826
444,8,1.0207884,38,0.05,0.336653092,0.134782609
445,16,1.4635203,58,0.1,0.553462992,0.22173913
446,42,1.8135039,69,0.2625,0.724853193,0.269565217
447,20,1.606352,61,0.125,0.623408995,0.234782609
448,10,1.238816,50,0.0625,0.443423221,0.186956522
449,12,1.2989333,43,0.075,0.472863218,0.156521739
450,44,1.8328277,63,0.275,0.734316237,0.243478261
451,28,1.5365106,66,0.175,0.589207016,0.256521739
452,0,0.8870222,29,0,0.271146548,0.095652174
453,42,1.7821976,104,0.2625,0.709522209,0.42173913
454,0,1.2222222,29,0,0.435297084,0.095652174
455,0,1.1058542,35,0,0.3783106,0.12173913
456,28,1.5405476,59,0.175,0.591183972,0.226086957
457,0,1.2123377,43,0,0.430456553,0.156521739
458,24,1.471094,49,0.15,0.557171903,0.182608696
459,40,1.8828143,59,0.25,0.758795136,0.226086957
460,0,1.471094,56,0,0.557171903,0.213043478
461,32,1.6071428,86,0.2,0.623796257,0.343478261
462,36,1.6700469,93,0.225,0.654600975,0.373913043
463,0,0.42239243,13,0,0.043613059,0.026086957
464,6,0.8619656,21,0.0375,0.2588761,0.060869565
465,14,1.3270249,32,0.0875,0.486619934,0.108695652
466,21,1.606352,68,0.13125,0.623408995,0.265217391
467,24,1.6666666,84,0.15,0.652945611,0.334782609
468,14,1.3006579,43,0.0875,0.473707771,0.156521739
469,8,1.0207884,35,0.05,0.336653092,0.12173913
470,8,1.0445806,41,0.05,0.348304352,0.147826087
471,16,1.3845592,53,0.1,0.514795012,0.2
472,44,1.787379,106,0.275,0.712059588,0.430434783
473,0,0.42239243,14,0,0.043613059,0.030434783
474,6,0.8870222,24,0.0375,0.271146548,0.073913043
475,16,1.4744722,33,0.1,0.558826239,0.113043478
476,0,1.1768752,55,0,0.413090239,0.208695652
477,36,1.7572933,46,0.225,0.697326343,0.169565217
478,20,1.6008096,39,0.125,0.62069483,0.139130435
479,10,1.1191936,34,0.0625,0.384843027,0.117391304
480,6,0.8870222,28,0.0375,0.271146548,0.091304348
481,6,0.8619656,23,0.0375,0.2588761,0.069565217
482,8,1.0207884,34,0.05,0.336653092,0.117391304
483,16,1.3845592,44,0.1,0.514795012,0.160869565
484,20,1.4635203,52,0.125,0.553462992,0.195652174
485,18,1.4028426,62,0.1125,0.523748562,0.239130435
486,32,1.6037242,66,0.2,0.622122137,0.256521739
487,28,1.5364467,60,0.175,0.589175724,0.230434783
488,20,1.4666082,57,0.125,0.554975165,0.217391304
489,18,1.3873369,48,0.1125,0.516155278,0.17826087
490,40,1.9731473,94,0.25,0.803032041,0.37826087
