Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
433,39,1.7669872,60,0.044571429,0.535140525,0.142473118
434,16,1.4382962,69,0.018285714,0.41244991,0.166666667
435,23,1.606352,64,0.026285714,0.475180162,0.153225806
436,17,1.606352,64,0.019428571,0.475180162,0.153225806
437,26,1.9244691,68,0.029714286,0.593923854,0.163978495
438,0,1.1561403,46,0,0.307129469,0.10483871
439,9,1.3304729,58,0.010285714,0.372202665,0.137096774
440,0,0.87048382,41,0,0.200502365,0.091397849
441,1,1.2186118,70,0.001142857,0.330448229,0.169354839
442,72,2.0183253,135,0.082285714,0.628957594,0.344086022
443,91,2.0398967,167,0.104,0.637009558,0.430107527
444,2,1.4931926,100,0.002285714,0.43294111,0.25
445,42,1.8993479,124,0.048,0.584546854,0.314516129
446,14,1.4791844,92,0.016,0.427712264,0.228494624
447,3,1.5992693,96,0.003428571,0.4725364,0.239247312
448,0,1.4538981,90,0,0.418273637,0.22311828
449,64,1.8839605,111,0.073142857,0.578803193,0.279569892
450,21,1.8950444,114,0.024,0.582940485,0.287634409
451,56,1.8337219,97,0.064,0.560050612,0.241935484
452,10,1.238816,54,0.011428571,0.337989859,0.126344086
453,3,1.0405263,53,0.003428571,0.263974187,0.123655914
454,13,1.5717616,85,0.014857143,0.46226859,0.209677419
455,67,1.9304764,100,0.076571429,0.596166201,0.25
456,1,1.3746208,75,0.001142857,0.388681769,0.182795699
457,0,1.3746208,75,0,0.388681769,0.182795699
458,3,1.3746208,75,0.003428571,0.388681769,0.182795699
459,6,1.0405263,46,0.006857143,0.263974187,0.10483871
460,8,0.98510355,24,0.009142857,0.243286516,0.045698925
461,10,1.1492875,18,0.011428571,0.304571522,0.029569892
462,2,0.98510355,18,0.002285714,0.243286516,0.029569892
463,12,1.1492875,17,0.013714286,0.304571522,0.02688172
464,8,1.0189475,15,0.009142857,0.25591946,0.021505376
465,4,0.69804502,12,0.004571429,0.136136068,0.01344086
466,0,0.33333334,8,0,0,0.002688172
467,4,0.98510355,18,0.004571429,0.243286516,0.029569892
468,16,1.5226898,103,0.018285714,0.443951541,0.258064516
469,68,2.1085443,202,0.077714286,0.662633674,0.524193548
470,642,2.8560605,346,0.733714286,0.941659332,0.911290323
