Depthmap_Ref,Choice_R3,Integration_HH_R3,Total_Connectivity_R3,Choice_R3,Integration_HH_R3,Total_Connectivity_R3
248,6,0.8619656,27,0.046875,0.25050377,0.10989011
249,4,0.70398736,11,0.03125,0.175642382,0.021978022
250,0,0.33333334,7,0,0,0
251,43,1.8839605,130,0.3359375,0.734798043,0.675824176
252,18,1.4896638,88,0.140625,0.547952068,0.445054945
253,8,1.0445806,45,0.0625,0.337039817,0.208791209
254,6,0.8870222,29,0.046875,0.262377379,0.120879121
255,8,1.0207884,36,0.0625,0.325765371,0.159340659
256,16,1.3873683,51,0.125,0.499477144,0.241758242
257,34,1.7841618,115,0.265625,0.687506282,0.593406593
258,60,1.9304764,134,0.46875,0.756840603,0.697802198
259,40,1.8362781,123,0.3125,0.712202712,0.637362637
260,35,1.8369439,107,0.2734375,0.712518216,0.549450549
261,71,2.063493,144,0.5546875,0.819873381,0.752747253
262,34,1.8470125,135,0.265625,0.717289438,0.703296703
263,22,1.5,89,0.171875,0.552850099,0.450549451
264,80,2.0986729,156,0.625,0.836544134,0.818681319
265,14,1.31797,60,0.109375,0.466591267,0.291208791
266,10,1.1768752,58,0.078125,0.39973046,0.28021978
267,18,1.5,88,0.140625,0.552850099,0.445054945
268,28,1.5405476,57,0.21875,0.572064451,0.274725275
269,60,1.9310595,122,0.46875,0.757116918,0.631868132
270,20,1.5688319,97,0.15625,0.585467576,0.494505495
271,10,1.2196002,73,0.078125,0.419976621,0.362637363
272,16,1.4382962,85,0.125,0.523610426,0.428571429
273,16,1.375,28,0.125,0.493616159,0.115384615
274,0,0.84912294,19,0,0.244418,0.065934066
275,16,1.2989333,35,0.125,0.457570317,0.153846154
276,18,1.4244281,34,0.140625,0.517038728,0.148351648
277,13,1.6261337,61,0.1015625,0.612621266,0.296703297
278,10,1.3988512,47,0.078125,0.504918564,0.21978022
279,4,1.1191936,44,0.03125,0.372396793,0.203296703
280,10,1.3873369,60,0.078125,0.499462265,0.291208791
281,29,1.6828449,70,0.2265625,0.639495089,0.346153846
282,25,1.6828449,68,0.1953125,0.639495089,0.335164835
283,20,1.4666082,65,0.15625,0.537026676,0.318681319
284,16,1.31797,58,0.125,0.466591267,0.28021978
285,16,1.3938289,63,0.125,0.502538639,0.307692308
286,8,1.0697098,49,0.0625,0.348947829,0.230769231
287,10,1.1365665,45,0.078125,0.380629315,0.208791209
288,20,1.5364467,64,0.15625,0.570121152,0.313186813
289,0,0.68957245,27,0,0.168811567,0.10989011
290,12,1.2989333,44,0.09375,0.457570317,0.203296703
291,0,1.1058542,33,0,0.366075631,0.142857143
292,24,1.471094,48,0.1875,0.539152369,0.225274725
293,26,1.6673985,89,0.203125,0.63217548,0.450549451
294,13,1.3873683,53,0.1015625,0.499477144,0.252747253
295,5,1,33,0.0390625,0.315914341,0.142857143
296,4,0.8619656,24,0.03125,0.25050377,0.093406593
297,7,1,33,0.0546875,0.315914341,0.142857143
298,15,1.3873683,51,0.1171875,0.499477144,0.241758242
299,15,1.5405476,66,0.1171875,0.572064451,0.324175824
300,24,1.6684235,82,0.1875,0.632661198,0.412087912
301,40,1.7426945,128,0.3125,0.667856109,0.664835165
302,58,1.8839605,131,0.453125,0.734798043,0.681318681
303,0,1.1492875,25,0,0.386657435,0.098901099
304,14,1.3057258,36,0.109375,0.460789089,0.159340659
305,10,1.1561403,46,0.078125,0.389904781,0.214285714
306,16,1.3873369,58,0.125,0.499462265,0.28021978
307,36,1.6700469,91,0.28125,0.633430481,0.461538462
308,12,1.2241485,50,0.09375,0.42213193,0.236263736
309,10,1.1365665,43,0.078125,0.380629315,0.197802198
310,16,1.3845592,50,0.125,0.498145992,0.236263736
311,20,1.3873369,54,0.15625,0.499462265,0.258241758
312,26,1.606352,66,0.203125,0.603247282,0.324175824
313,0,0.42239243,13,0,0.042202566,0.032967033
314,6,0.8619656,23,0.046875,0.25050377,0.087912088
315,14,1.2989333,43,0.109375,0.457570317,0.197802198
316,0,1.2241485,53,0,0.42213193,0.252747253
317,0,1.2906152,77,0,0.453628606,0.384615385
318,31,1.7265038,100,0.2421875,0.660183798,0.510989011
319,57,1.9775612,125,0.4453125,0.779152749,0.648351648
320,40,1.7265038,101,0.3125,0.660183798,0.516483516
321,58,1.9309677,130,0.453125,0.757073416,0.675824176
322,64,1.9756846,137,0.5,0.778263481,0.714285714
323,36,1.6741856,96,0.28125,0.635391693,0.489010989
324,16,1.4135897,69,0.125,0.511902719,0.340659341
325,10,1.1561403,50,0.078125,0.389904781,0.236263736
326,14,1.31797,60,0.109375,0.466591267,0.291208791
327,36,1.6684235,73,0.28125,0.632661198,0.362637363
328,0,0.49860358,23,0,0.078316859,0.087912088
329,8,1.0697098,52,0.0625,0.348947829,0.247252747
330,26,1.7265038,100,0.203125,0.660183798,0.510989011
331,58,1.9363272,114,0.453125,0.759613131,0.587912088
332,69,1.975305,136,0.5390625,0.7780836,0.708791209
333,32,1.7821976,99,0.25,0.686575503,0.505494505
334,33,1.7914909,124,0.2578125,0.690979333,0.642857143
335,32,1.7426945,123,0.25,0.667856109,0.637362637
336,36,1.7914909,119,0.28125,0.690979333,0.615384615
337,32,1.6673985,92,0.25,0.63217548,0.467032967
338,56,1.8855816,127,0.4375,0.735566236,0.659340659
339,28,1.7001897,123,0.21875,0.647714295,0.637362637
340,26,1.6249448,106,0.203125,0.612057881,0.543956044
341,51,1.8337219,116,0.3984375,0.710991401,0.598901099
342,0,1.1492875,25,0,0.386657435,0.098901099
343,0,1.1492875,25,0,0.386657435,0.098901099
344,24,2.2175555,28,0.1875,0.892879211,0.115384615
345,17,1.6812503,49,0.1328125,0.638739453,0.230769231
346,10,1.6474625,55,0.078125,0.622728377,0.263736264
347,19,1.6474625,56,0.1484375,0.622728377,0.269230769
348,20,1.606352,69,0.15625,0.603247282,0.340659341
349,23,1.6474625,55,0.1796875,0.622728377,0.263736264
350,25,1.6828449,68,0.1953125,0.639495089,0.335164835
351,40,1.7288883,99,0.3125,0.661313745,0.505494505
352,40,1.7257152,89,0.3125,0.659810103,0.450549451
353,25,1.6178579,93,0.1953125,0.608699601,0.472527473
354,29,1.7307693,85,0.2265625,0.662205097,0.428571429
355,40,1.7269484,86,0.3125,0.660394481,0.434065934
356,23,1.6042534,80,0.1796875,0.602252816,0.401098901
357,23,1.6042534,82,0.1796875,0.602252816,0.412087912
358,40,1.7379411,73,0.3125,0.665603609,0.362637363
359,28,1.6673985,79,0.21875,0.63217548,0.395604396
360,22,1.4724894,67,0.171875,0.539813609,0.32967033
361,52,1.8344558,93,0.40625,0.711339176,0.472527473
362,28,1.6673985,78,0.21875,0.63217548,0.39010989
363,22,1.4666082,60,0.171875,0.537026676,0.291208791
364,16,1.31797,58,0.125,0.466591267,0.28021978
365,22,1.5448366,77,0.171875,0.574096886,0.384615385
366,16,1.3076391,53,0.125,0.461695748,0.252747253
367,20,1.4803609,73,0.15625,0.543543689,0.362637363
368,0,1.2906152,76,0,0.453628606,0.379120879
369,0,0.88468331,43,0,0.261269046,0.197802198
370,18,1.6037242,79,0.140625,0.602002043,0.395604396
371,25,1.6684235,81,0.1953125,0.632661198,0.406593407
372,11,1.5405476,63,0.0859375,0.572064451,0.307692308
373,27,1.8328277,73,0.2109375,0.710567666,0.362637363
374,0,0.33333334,7,0,0,0
375,4,0.70398736,11,0.03125,0.175642382,0.021978022
376,6,0.8619656,27,0.046875,0.25050377,0.10989011
377,10,1.1768752,53,0.078125,0.39973046,0.252747253
378,26,1.7495173,73,0.203125,0.67108924,0.362637363
379,0,1.1561403,50,0,0.389904781,0.236263736
380,32,1.6734514,70,0.25,0.635043777,0.346153846
381,35,1.6734514,65,0.2734375,0.635043777,0.318681319
382,30,1.606352,67,0.234375,0.603247282,0.32967033
383,27,1.5365106,73,0.2109375,0.570151432,0.362637363
384,15,1.3938289,66,0.1171875,0.502538639,0.324175824
385,8,1.1561403,51,0.0625,0.389904781,0.241758242
386,13,1.4028426,65,0.1015625,0.506809974,0.318681319
387,34,1.6700469,88,0.265625,0.633430481,0.445054945
388,36,1.6741856,98,0.28125,0.635391693,0.5
389,44,1.7963344,127,0.34375,0.69327453,0.659340659
390,14,1.3076391,54,0.109375,0.461695748,0.258241758
391,8,1,30,0.0625,0.315914341,0.126373626
392,6,0.8870222,25,0.046875,0.262377379,0.098901099
393,8,0.98558021,26,0.0625,0.309081213,0.104395604
394,12,1.2052853,37,0.09375,0.413193197,0.164835165
395,0,1.0207884,35,0,0.325765371,0.153846154
396,36,1.6734514,64,0.28125,0.635043777,0.313186813
397,28,1.5405476,54,0.21875,0.572064451,0.258241758
398,16,1.4028426,59,0.125,0.506809974,0.285714286
399,10,1.1561403,50,0.078125,0.389904781,0.236263736
400,14,1.3304729,63,0.109375,0.472516035,0.307692308
401,32,1.606352,63,0.25,0.603247282,0.307692308
402,40,1.7288883,97,0.3125,0.661313745,0.494505495
403,56,1.8861139,104,0.4375,0.735818478,0.532967033
404,36,1.6673985,83,0.28125,0.63217548,0.417582418
405,40,1.7325417,105,0.3125,0.663044987,0.538461538
406,40,1.7257152,93,0.3125,0.659810103,0.472527473
407,0,0.42239243,15,0,0.042202566,0.043956044
408,6,0.91666669,40,0.046875,0.276425059,0.181318681
409,18,1.4666082,78,0.140625,0.537026676,0.39010989
410,0,1.0207884,34,0,0.325765371,0.148351648
411,0,1.2671746,28,0,0.442520774,0.115384615
412,24,1.6587812,34,0.1875,0.628091987,0.148351648
413,18,1.569167,49,0.140625,0.58562637,0.230769231
414,16,1.3873683,45,0.125,0.499477144,0.208791209
415,8,1.0207884,34,0.0625,0.325765371,0.148351648
416,6,0.8619656,21,0.046875,0.25050377,0.076923077
417,6,0.84912294,15,0.046875,0.244418,0.043956044
418,6,0.84912294,15,0.046875,0.244418,0.043956044
419,6,0.8619656,21,0.046875,0.25050377,0.076923077
420,8,1.0207884,34,0.0625,0.325765371,0.148351648
421,16,1.3873683,46,0.125,0.499477144,0.214285714
422,0,1.1191936,44,0,0.372396793,0.203296703
423,14,1.31797,57,0.109375,0.466591267,0.274725275
424,10,1.1365665,46,0.078125,0.380629315,0.214285714
425,14,1.3006579,51,0.109375,0.458387556,0.241758242
426,28,1.5365106,68,0.21875,0.570151432,0.335164835
427,44,1.7820429,96,0.34375,0.686502195,0.489010989
428,40,1.7265038,89,0.3125,0.660183798,0.450549451
429,13,1.3938289,63,0.1015625,0.502538639,0.307692308
430,6,1.0207884,37,0.046875,0.325765371,0.164835165
431,7,1,30,0.0546875,0.315914341,0.126373626
432,13,1.3057258,37,0.1015625,0.460789089,0.164835165
433,29,1.6071428,87,0.2265625,0.60362202,0.43956044
434,16,1.4028426,64,0.125,0.506809974,0.313186813
435,10,1.1561403,49,0.078125,0.389904781,0.230769231
436,14,1.31797,59,0.109375,0.466591267,0.285714286
437,32,1.6042534,74,0.25,0.602252816,0.368131868
438,36,1.6700469,88,0.28125,0.633430481,0.445054945
439,36,1.6794915,97,0.28125,0.637906008,0.494505495
440,44,1.9341822,87,0.34375,0.758596676,0.43956044
441,0,1.4724894,74,0,0.539813609,0.368131868
442,43,1.7841618,116,0.3359375,0.687506282,0.598901099
443,64,2.0454545,83,0.5,0.81132545,0.417582418
444,16,1.606352,74,0.125,0.603247282,0.368131868
445,6,1.2241485,56,0.046875,0.42213193,0.269230769
446,10,1.3873369,59,0.078125,0.499462265,0.285714286
447,40,1.8416041,101,0.3125,0.714726552,0.516483516
448,35,1.7269484,85,0.2734375,0.660394481,0.428571429
449,37,1.7372102,113,0.2890625,0.665257256,0.582417582
450,31,1.6684235,76,0.2421875,0.632661198,0.379120879
451,16,1.3873369,52,0.125,0.499462265,0.247252747
452,6,0.8870222,29,0.046875,0.262377379,0.120879121
453,0,0.42239243,14,0,0.042202566,0.038461538
454,30,1.606352,63,0.234375,0.603247282,0.307692308
455,27,1.6734514,72,0.2109375,0.635043777,0.357142857
456,8,1.3845592,53,0.0625,0.498145992,0.252747253
457,2,1.1191936,43,0.015625,0.372396793,0.197802198
458,10,1.3873369,58,0.078125,0.499462265,0.28021978
459,37,1.7626089,139,0.2890625,0.677292976,0.725274725
460,0,0.42239243,12,0,0.042202566,0.027472527
461,6,0.84912294,18,0.046875,0.244418,0.06043956
462,12,1.2671746,25,0.09375,0.442520774,0.098901099
463,12,1.471094,51,0.09375,0.539152369,0.241758242
464,11,1.3873369,53,0.0859375,0.499462265,0.252747253
465,20,1.550553,53,0.15625,0.576805726,0.252747253
466,18,1.4028426,66,0.140625,0.506809974,0.324175824
467,18,1.3938289,57,0.140625,0.502538639,0.274725275
468,27,1.6812503,48,0.2109375,0.638739453,0.225274725
469,16,1.3938289,62,0.125,0.502538639,0.302197802
470,8,1.0207884,36,0.0625,0.325765371,0.159340659
471,6,0.91666669,34,0.046875,0.276425059,0.148351648
472,10,1.1191936,39,0.078125,0.372396793,0.175824176
473,20,1.5364467,68,0.15625,0.570121152,0.335164835
474,28,1.5448366,83,0.21875,0.574096886,0.417582418
475,42,1.7265038,106,0.328125,0.660183798,0.543956044
476,20,1.5395753,81,0.15625,0.571603706,0.406593407
477,14,1.3592209,80,0.109375,0.486138893,0.401098901
478,24,1.7001897,132,0.1875,0.647714295,0.686813187
479,44,1.787379,125,0.34375,0.689030821,0.648351648
