Cluster_Kmeans_740984,Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
2,308,101,2.1036434,178,0.122424242,0.666152309,0.380846325
2,309,18,1.6693437,115,0.021818182,0.502729102,0.240534521
2,310,70,2.1775017,288,0.084848485,0.693944546,0.625835189
2,311,61,1.8883823,209,0.073939394,0.585151426,0.449888641
2,312,60,2.3333955,257,0.072727273,0.75260603,0.556792873
2,313,198,2.5665982,331,0.24,0.840358182,0.721603563
2,314,98,2.3421185,366,0.118787879,0.755888419,0.799554566
2,315,13,1.9596733,279,0.015757576,0.61197761,0.605790646
2,316,13,1.8443592,229,0.015757576,0.568585915,0.494432071
2,317,20,1.6883124,188,0.024242424,0.509866859,0.40311804
3,318,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,319,20,1.5688319,79,0.024242424,0.464907384,0.160356347
3,320,8,1.0697098,44,0.00969697,0.27709207,0.082405345
3,321,6,0.8619656,23,0.007272727,0.198919731,0.035634744
3,322,6,0.84912294,15,0.007272727,0.194087149,0.017817372
3,323,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,324,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,325,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,326,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,327,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,328,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,329,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,330,8,1.1561403,49,0.00969697,0.309615117,0.093541203
3,331,16,1.3873369,61,0.019393939,0.396612391,0.120267261
3,332,15,1.5405476,66,0.018181818,0.454264247,0.131403118
3,333,24,1.4135897,81,0.029090909,0.406491091,0.16481069
3,334,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,335,6,0.84912294,15,0.007272727,0.194087149,0.017817372
3,336,6,0.8619656,19,0.007272727,0.198919731,0.026726058
3,337,8,0.98558021,21,0.00969697,0.245434836,0.031180401
3,338,12,1.2222222,23,0.014545455,0.334481162,0.035634744
3,339,12,1.2222222,25,0.014545455,0.334481162,0.040089087
3,340,8,1.0207884,37,0.00969697,0.258683372,0.066815145
3,341,10,1.1981546,70,0.012121212,0.325424733,0.140311804
2,342,26,1.7372102,127,0.031515152,0.528266677,0.267260579
2,343,66,2.136039,184,0.08,0.678342492,0.394209354
2,344,34,1.9533483,167,0.041212121,0.609597567,0.356347439
3,345,10,1.2829794,88,0.012121212,0.357343569,0.180400891
3,346,8,1.0697098,51,0.00969697,0.27709207,0.097995546
2,347,30,1.8344153,93,0.036363636,0.564844112,0.191536748
3,348,12,1.3455029,70,0.014545455,0.38087062,0.140311804
2,349,69,2.1565294,256,0.083636364,0.686052852,0.554565702
2,350,148,2.2405958,201,0.179393939,0.717686308,0.432071269
3,351,26,1.3845592,61,0.031515152,0.395567166,0.120267261
2,352,18,1.5717616,112,0.021818182,0.466009805,0.233853007
2,353,28,1.8348413,143,0.033939394,0.565004412,0.302895323
2,354,165,2.2962859,110,0.2,0.73864201,0.229398664
2,355,141,2.3406782,100,0.170909091,0.755346447,0.207126949
3,356,20,1.6100973,89,0.024242424,0.480435196,0.182628062
2,357,74,2.0531211,226,0.08969697,0.647141206,0.487750557
2,358,14,1.5003179,137,0.016969697,0.43912616,0.289532294
2,359,146,2.193917,229,0.176969697,0.700121481,0.494432071
2,360,261,2.4515421,238,0.316363636,0.79706357,0.514476615
2,361,74,2.1398234,162,0.08969697,0.679766529,0.345211581
2,362,26,1.7372102,127,0.031515152,0.528266677,0.267260579
2,363,20,1.6883124,162,0.024242424,0.509866859,0.345211581
2,364,37,1.8518485,146,0.044848485,0.571404074,0.309576837
2,365,34,1.9491093,118,0.041212121,0.608002469,0.247216036
2,366,51,2.040309,131,0.061818182,0.642320124,0.276169265
2,367,26,1.7555087,141,0.031515152,0.535152243,0.29844098
2,368,34,1.9533483,162,0.041212121,0.609597567,0.345211581
