Cluster_Kmeans_479126,Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 n,Integration [HH] R3 n,Total Connectivity R3 n
2,351,18,1.4382962,95,0.045801527,0.481887016,0.302405498
3,352,0,1.2196002,79,0,0.386511174,0.24742268
3,353,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,354,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,355,6,0.84912294,13,0.015267176,0.224941779,0.020618557
3,356,6,0.87255627,11,0.015267176,0.235161323,0.013745704
3,357,4,0.70398736,9,0.010178117,0.161646482,0.006872852
3,358,0,0.33333334,7,0,0,0
3,359,12,1.31797,68,0.030534351,0.429411376,0.209621993
3,360,10,1.2241485,57,0.025445293,0.38849474,0.171821306
3,361,16,1.4028426,74,0.040712468,0.466425293,0.23024055
3,362,8,1.0207884,43,0.020356234,0.299807061,0.12371134
3,363,6,0.8619656,21,0.015267176,0.23054261,0.048109966
3,364,6,0.84912294,15,0.015267176,0.224941779,0.027491409
3,365,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,366,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,367,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,368,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,369,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,370,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,371,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,372,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,373,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,374,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,375,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,376,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,377,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,378,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,379,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,380,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,381,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,382,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,383,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,384,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,385,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,386,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,387,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,388,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,389,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,390,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,391,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,392,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,393,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,394,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,395,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,396,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,397,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,398,6,0.84912294,13,0.015267176,0.224941779,0.020618557
3,399,6,0.87255627,11,0.015267176,0.235161323,0.013745704
3,400,4,0.70398736,9,0.010178117,0.161646482,0.006872852
3,401,0,0.33333334,7,0,0,0
2,402,11,1.4380959,126,0.027989822,0.481799663,0.408934708
2,403,44,1.9304764,141,0.111959288,0.696532463,0.4604811
2,404,25,1.7426945,139,0.063613232,0.614638616,0.453608247
3,405,6,0.84912294,14,0.015267176,0.224941779,0.024054983
2,406,40,1.7265038,104,0.10178117,0.607577666,0.333333333
2,407,48,2.0595157,154,0.122137405,0.752807987,0.505154639
2,408,42,1.9805739,127,0.106870229,0.71838056,0.412371134
2,409,26,1.5598243,89,0.066157761,0.534886818,0.281786942
2,410,24,1.4644111,60,0.061068702,0.493276024,0.182130584
3,411,14,1.3006579,54,0.03562341,0.42186137,0.161512027
2,412,12,1.3815587,109,0.030534351,0.457143139,0.350515464
2,413,36,1.9812206,155,0.091603053,0.718662593,0.508591065
1,414,148,2.4275136,205,0.376590331,0.913296105,0.680412371
3,415,14,1.3076391,60,0.03562341,0.424905951,0.182130584
3,416,8,1.0952908,62,0.020356234,0.332298415,0.189003436
2,417,14,1.5003179,130,0.03562341,0.508935393,0.422680412
2,418,16,1.5490618,134,0.040712468,0.530193168,0.436426117
3,419,12,1.2726263,82,0.030534351,0.409636466,0.257731959
1,420,112,2.302825,202,0.284987277,0.858917972,0.670103093
1,421,116,2.3032792,198,0.295165394,0.859116054,0.656357388
2,422,37,1.9787503,152,0.094147583,0.717585267,0.498281787
1,423,253,2.6263249,221,0.643765903,1,0.735395189
2,424,16,1.6667411,163,0.040712468,0.581514465,0.536082474
2,425,14,1.5003179,131,0.03562341,0.508935393,0.426116838
1,426,106,2.3032792,199,0.269720102,0.859116054,0.659793814
1,427,60,2.062814,187,0.152671756,0.754246413,0.618556701
2,428,16,1.4516129,102,0.040712468,0.487694582,0.326460481
3,429,8,1.0445806,48,0.020356234,0.310183113,0.140893471
1,430,131,2.4041641,177,0.333333333,0.903113119,0.58419244
2,431,35,1.9812206,157,0.089058524,0.718662593,0.515463918
1,432,175,2.4571872,257,0.445292621,0.926237103,0.859106529
