Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 n,Integration [HH] R3 n,Total Connectivity R3 n
414,4,0.70398736,10,0.033333333,0.187298575,0.015873016
415,0,0.33333334,7,0,0,0
416,20,1.4244281,35,0.166666667,0.551351078,0.148148148
417,0,1.2052853,45,0,0.440614024,0.201058201
418,28,1.9585886,38,0.233333333,0.821272608,0.164021164
419,0,1.5668709,38,0,0.623330153,0.164021164
420,60,2.0788085,66,0.5,0.882022026,0.312169312
421,20,1.6474625,52,0.166666667,0.664054632,0.238095238
422,20,1.7342104,44,0.166666667,0.707890007,0.195767196
423,22,1.6474625,52,0.183333333,0.664054632,0.238095238
424,32,1.6132691,59,0.266666667,0.646776052,0.275132275
425,32,1.606352,63,0.266666667,0.643280709,0.296296296
426,14,1.2989333,37,0.116666667,0.487936152,0.158730159
427,6,0.8619656,23,0.05,0.267128005,0.084656085
428,0,0.42239243,13,0,0.045003264,0.031746032
429,0,0.33333334,8,0,0,0.005291005
430,4,0.69804502,15,0.033333333,0.184295797,0.042328042
431,8,0.98558021,25,0.066666667,0.329592835,0.095238095
432,14,1.3006579,38,0.116666667,0.488807625,0.164021164
433,32,1.6261337,52,0.266666667,0.65327678,0.238095238
434,32,1.6132691,63,0.266666667,0.646776052,0.296296296
435,0,1.238816,60,0,0.457557729,0.28042328
436,40,1.7379411,77,0.333333333,0.709775201,0.37037037
437,28,1.5365106,64,0.233333333,0.607988512,0.301587302
438,16,1.3873369,52,0.133333333,0.532608184,0.238095238
439,8,1.0207884,35,0.066666667,0.347384207,0.148148148
440,6,0.91666669,35,0.05,0.294769513,0.148148148
441,10,1.1365665,42,0.083333333,0.405889099,0.185185185
442,22,1.6132691,57,0.183333333,0.646776052,0.264550265
443,36,1.6734514,64,0.3,0.67718732,0.301587302
444,33,1.6684235,65,0.275,0.674646626,0.306878307
445,30,1.6132691,57,0.25,0.646776052,0.264550265
446,17,1.3845592,49,0.141666667,0.531204559,0.222222222
447,17,1.3873369,49,0.141666667,0.532608184,0.222222222
448,14,1.3057258,34,0.116666667,0.491368532,0.142857143
449,8,1.0207884,33,0.066666667,0.347384207,0.137566138
450,8,1.0445806,41,0.066666667,0.359406862,0.17989418
451,16,1.4028426,59,0.133333333,0.540443511,0.275132275
452,33,1.6734514,64,0.275,0.67718732,0.301587302
453,30,1.6132691,56,0.25,0.646776052,0.259259259
454,32,1.6132691,56,0.266666667,0.646776052,0.259259259
455,24,1.471094,44,0.2,0.574932251,0.195767196
456,0,1.1365665,41,0,0.405889099,0.17989418
457,0,1.1087778,28,0,0.391846936,0.111111111
458,32,1.6132691,57,0.266666667,0.646776052,0.264550265
459,24,1.5154221,41,0.2,0.597332089,0.17989418
460,51,1.875,86,0.425,0.779033688,0.417989418
461,23,1.6132691,69,0.191666667,0.646776052,0.328042328
462,20,1.4803609,78,0.166666667,0.579614993,0.375661376
463,40,1.7265038,101,0.333333333,0.703995714,0.497354497
464,54,1.9051077,94,0.45,0.794247685,0.46031746
465,28,1.5405476,61,0.233333333,0.610028485,0.285714286
466,36,1.6828449,71,0.3,0.681934036,0.338624339
467,12,1.3057258,41,0.1,0.491368532,0.17989418
468,0,0.68957245,24,0,0.180014445,0.08994709
469,38,1.6734514,74,0.316666667,0.67718732,0.354497354
470,50,1.7852225,90,0.416666667,0.733667398,0.439153439
471,0,0.68957245,24,0,0.180014445,0.08994709
472,12,1.3057258,34,0.1,0.491368532,0.142857143
473,8,1.3270249,35,0.066666667,0.502131376,0.148148148
474,5,1.1058542,34,0.041666667,0.390369585,0.142857143
475,11,1.4244281,36,0.091666667,0.551351078,0.153439153
476,18,1.3873683,45,0.15,0.532624051,0.201058201
477,18,1.3938289,52,0.15,0.535888716,0.238095238
478,16,1.5154221,41,0.133333333,0.597332089,0.17989418
479,20,1.6531878,39,0.166666667,0.666947735,0.169312169
480,24,1.4644111,56,0.2,0.571555253,0.259259259
481,36,1.6981779,61,0.3,0.689682094,0.285714286
482,28,1.569167,45,0.233333333,0.624490416,0.201058201
483,40,1.6684235,80,0.333333333,0.674646626,0.386243386
484,16,1.4244281,45,0.133333333,0.551351078,0.201058201
485,8,0.98510355,26,0.066666667,0.329351969,0.100529101
486,0,0.49860358,18,0,0.083514217,0.058201058
