Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice normal,Integration normal,Total Connectivity normal
399,0,1.4221928,119,0,0.360345303,0.152588556
400,78,2.2874444,289,0.033333333,0.6466902,0.384196185
401,182,2.593091,452,0.077777778,0.747840368,0.60626703
402,101,2.3456216,396,0.043162393,0.665943264,0.529972752
403,322,2.7922814,499,0.137606838,0.813760101,0.670299728
404,0,1.8122568,228,0,0.489432422,0.301089918
405,64,1.8489804,90,0.027350427,0.501585668,0.113079019
406,8,1.3076391,53,0.003418803,0.322435096,0.0626703
407,21,1.4931926,95,0.008974359,0.383841857,0.119891008
408,12,1.2906152,66,0.005128205,0.316801235,0.080381471
409,83,2.1505446,211,0.035470085,0.601384813,0.277929155
410,7,1.2123377,47,0.002991453,0.290896212,0.054495913
411,6,1.1365665,49,0.002564103,0.26582062,0.057220708
412,1,1.2123377,47,0.00042735,0.290896212,0.054495913
413,19,1.6926663,104,0.008119658,0.449855345,0.132152589
414,12,1.5212561,102,0.005128205,0.393129144,0.129427793
415,16,1.2552096,55,0.006837607,0.305084166,0.065395095
416,14,1.3873369,53,0.005982906,0.348810151,0.0626703
417,8,0.98558021,27,0.003418803,0.215853473,0.027247956
418,6,0.8619656,17,0.002564103,0.174944664,0.013623978
419,6,0.84912294,19,0.002564103,0.170694536,0.016348774
420,6,0.94787496,40,0.002564103,0.203375362,0.044959128
421,14,1.469555,100,0.005982906,0.376019269,0.126702997
422,4,1.4538981,90,0.001709402,0.370837801,0.113079019
423,60,1.8649745,184,0.025641026,0.506878728,0.241144414
424,10,1.2621337,79,0.004273504,0.307375616,0.098092643
425,12,1.3815587,85,0.005128205,0.346897923,0.10626703
426,121,2.0655131,174,0.051709402,0.573244632,0.227520436
427,12,1.2123377,44,0.005128205,0.290896212,0.050408719
428,12,1.2552096,48,0.005128205,0.305084166,0.055858311
429,54,1.6857162,92,0.023076923,0.44755529,0.115803815
430,10,1.1561403,47,0.004273504,0.27229834,0.054495913
431,6,1.0698866,65,0.002564103,0.243753687,0.079019074
432,18,1.7051717,179,0.007692308,0.45399386,0.234332425
433,18,1.7051717,177,0.007692308,0.45399386,0.231607629
434,6,1.0102814,56,0.002564103,0.224028043,0.066757493
435,6,0.84912294,20,0.002564103,0.170694536,0.017711172
436,6,0.84912294,16,0.002564103,0.170694536,0.01226158
437,6,0.8870222,26,0.002564103,0.183236852,0.025885559
438,10,1.1981546,62,0.004273504,0.286202481,0.07493188
439,14,1.4221928,78,0.005982906,0.360345303,0.096730245
440,18,1.2241485,46,0.007692308,0.294804858,0.053133515
441,38,1.7802029,178,0.016239316,0.478824559,0.232970027
442,304,2.6193171,416,0.12991453,0.756519589,0.557220708
443,44,2.1496761,296,0.018803419,0.601097393,0.39373297
444,10,1.1981546,65,0.004273504,0.286202481,0.079019074
445,6,0.8619656,17,0.002564103,0.174944664,0.013623978
446,8,0.98558021,23,0.003418803,0.215853473,0.021798365
447,6,0.84912294,15,0.002564103,0.170694536,0.010899183
448,6,0.84912294,15,0.002564103,0.170694536,0.010899183
449,6,0.8619656,22,0.002564103,0.174944664,0.020435967
450,8,1.0952908,58,0.003418803,0.25216091,0.069482289
451,10,1.4850357,113,0.004273504,0.381142426,0.144414169
452,32,1.7901133,187,0.013675214,0.482104289,0.245231608
453,8,1.2621337,83,0.003418803,0.307375616,0.103542234
454,22,1.5364467,70,0.009401709,0.398156295,0.085831063
455,57,1.8855816,144,0.024358974,0.513698407,0.186648501
456,91,2.2231505,255,0.038888889,0.625412886,0.337874659
457,13,1.7777745,157,0.005555556,0.478020908,0.204359673
458,0,0.49860358,19,0,0.054694253,0.016348774
459,8,1.0445806,42,0.003418803,0.235378962,0.047683924
460,32,1.6828449,81,0.013675214,0.446605067,0.100817439
461,17,1.4635203,66,0.007264957,0.374022156,0.080381471
462,2,1.5967636,143,0.000854701,0.418117468,0.185286104
463,18,1.7251066,147,0.007692308,0.460591082,0.190735695
464,18,1.9432633,241,0.007692308,0.532787491,0.31880109
