Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
381,44,1.7821976,98,0.052568698,0.537035985,0.213114754
382,56,1.8839941,119,0.066905615,0.574767873,0.262295082
383,37,1.9363272,121,0.044205496,0.594165658,0.266978923
384,16,1.5517242,73,0.01911589,0.451608721,0.154566745
385,32,1.6037242,58,0.03823178,0.470883039,0.119437939
386,12,1.2552096,47,0.014336918,0.341702628,0.093676815
387,22,1.3006579,37,0.026284349,0.358548493,0.070257611
388,22,1.3076391,44,0.026284349,0.361136145,0.086651054
389,12,1.2726263,46,0.014336918,0.348158301,0.091334895
390,54,1.6700469,70,0.064516129,0.49546621,0.147540984
391,59,1.7852225,75,0.070489845,0.538157194,0.159250585
392,30,1.7914909,95,0.035842294,0.540480639,0.206088993
393,50,1.8427275,112,0.059737157,0.559471996,0.245901639
394,56,1.820729,129,0.066905615,0.551318032,0.285714286
395,60,1.7257152,88,0.071684588,0.51610022,0.18969555
396,30,1.606352,55,0.035842294,0.47185706,0.112412178
397,18,1.471094,42,0.021505376,0.421722333,0.081967213
398,10,1.1058542,33,0.011947431,0.28634256,0.06088993
399,6,0.91666669,32,0.007168459,0.216218323,0.058548009
400,8,1.0445806,34,0.009557945,0.263630889,0.06323185
401,30,1.4803609,49,0.035842294,0.425157202,0.098360656
402,25,1.4635203,45,0.029868578,0.418915066,0.088992974
403,21,1.3873683,38,0.025089606,0.390688568,0.072599532
404,0,0.73918515,24,0,0.15043302,0.039812646
405,0,0.33333334,8,0,0,0.00234192
406,4,0.69804502,14,0.004778973,0.135184021,0.016393443
407,8,0.98510355,18,0.009557945,0.241585127,0.025761124
408,12,1.2222222,23,0.014336918,0.329475519,0.037470726
409,12,1.2063863,28,0.014336918,0.323605785,0.049180328
410,10,1.1058542,28,0.011947431,0.28634256,0.049180328
411,12,1.2063863,30,0.014336918,0.323605785,0.053864169
412,12,1.2052853,38,0.014336918,0.323197688,0.072599532
413,12,1.238816,51,0.014336918,0.335626177,0.103044496
414,22,1.6132691,63,0.026284349,0.474420952,0.131147541
415,27,1.8599865,65,0.032258065,0.565869216,0.135831382
416,0,0.63684219,19,0,0.112498582,0.028103044
417,10,1.2222222,25,0.011947431,0.329475519,0.042154567
418,24,1.5668709,29,0.028673835,0.457222996,0.051522248
419,14,1.3057258,29,0.016726404,0.360426961,0.051522248
420,8,1,27,0.009557945,0.247106645,0.046838407
421,6,0.8870222,25,0.007168459,0.205230297,0.042154567
422,8,0.98558021,23,0.009557945,0.241761806,0.037470726
423,12,1.2063863,30,0.014336918,0.323605785,0.053864169
424,16,1.3006579,44,0.01911589,0.358548493,0.086651054
