Cluster_Kmeans_916395,Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,choice_normal,integration_normal,connect_normal
2,338,3,1.4850357,114,0.0023734 ,0.2572004 ,0.25845411 
2,339,33,1.9742178,161,0.0261076 ,0.3664456 ,0.37198068 
2,340,15,1.9019953,157,0.0118671 ,0.3503167 ,0.36231884 
2,341,20,1.7700537,129,0.0158228 ,0.3208512 ,0.29468599 
2,342,39,1.785715,132,0.0308544 ,0.3243487 ,0.30193237 
2,343,67,1.9261212,156,0.0530063 ,0.3557045 ,0.35990338 
3,344,5,1.3455029,88,0.0039557 ,0.2260397 ,0.19565217 
2,345,15,1.7399356,137,0.0118671 ,0.3141252 ,0.31400966 
3,346,0,1.1663449,84,0.0000000 ,0.1860298 ,0.18599034 
2,347,23,1.8358343,175,0.0181962 ,0.3355415 ,0.40579710 
3,348,9,1.4516129,81,0.0071203 ,0.2497364 ,0.17874396 
3,349,5,1.1561403,52,0.0039557 ,0.1837509 ,0.10869565 
3,350,29,1.5395753,68,0.0229430 ,0.2693803 ,0.14734300 
3,351,12,1.4666082,64,0.0094937 ,0.2530852 ,0.13768116 
3,352,4,1.1561403,44,0.0031646 ,0.1837509 ,0.08937198 
3,353,22,1.4028426,55,0.0174051 ,0.2388449 ,0.11594203 
3,354,14,1.4221928,72,0.0110759 ,0.2431662 ,0.15700483 
2,355,104,1.9758738,105,0.0822785 ,0.3668154 ,0.23671498 
2,356,34,1.8572819,140,0.0268987 ,0.3403312 ,0.32125604 
2,357,58,1.7265038,75,0.0458861 ,0.3111256 ,0.16425121 
3,358,10,1.1768752,47,0.0079114 ,0.1883814 ,0.09661836 
3,359,6,1.0405263,52,0.0047468 ,0.1579317 ,0.10869565 
2,360,16,1.507236,99,0.0126582 ,0.2621583 ,0.22222222 
3,361,12,1.3443909,53,0.0094937 ,0.2257914 ,0.11111111 
3,362,25,1.4135897,54,0.0197785 ,0.2412450 ,0.11352657 
3,363,7,1,29,0.0055380 ,0.1488813 ,0.05314010 
3,364,4,0.91666669,27,0.0031646 ,0.1302712 ,0.04830918 
3,365,9,1.2123377,38,0.0071203 ,0.1963010 ,0.07487923 
2,366,65,1.7269484,70,0.0514241 ,0.3112249 ,0.15217391 
3,367,14,1.31797,47,0.0110759 ,0.2198910 ,0.09661836 
3,368,12,1.3304729,51,0.0094937 ,0.2226832 ,0.10628019 
3,369,16,1.4028426,54,0.0126582 ,0.2388449 ,0.11352657 
3,370,29,1.4635203,50,0.0229430 ,0.2523956 ,0.10386473 
