Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 n,Integration [HH] R3 n,Total Connectivity R3 n
402,12,1.3815587,120,0.034090909,0.426126793,0.321937322
403,82,2.1594694,147,0.232954545,0.742364698,0.398860399
404,12,1.3636364,117,0.034090909,0.418840981,0.313390313
405,4,0.76619166,43,0.011363636,0.175966481,0.102564103
406,0,0.33333334,10,0,0,0.008547009
407,47,1.8337219,112,0.133522727,0.609941134,0.299145299
408,6,0.84912294,16,0.017045455,0.20967988,0.025641026
409,6,0.84912294,14,0.017045455,0.20967988,0.01994302
410,6,0.84912294,14,0.017045455,0.20967988,0.01994302
411,6,0.84912294,14,0.017045455,0.20967988,0.01994302
412,6,0.84912294,14,0.017045455,0.20967988,0.01994302
413,14,1.2989333,40,0.039772727,0.39253774,0.094017094
414,12,1.2222222,23,0.034090909,0.361352981,0.045584046
415,26,1.7288883,112,0.073863636,0.567323957,0.299145299
416,61,2.072258,139,0.173295455,0.706911335,0.376068376
417,96,2.1938319,160,0.272727273,0.756333814,0.435897436
418,77,2.1355736,185,0.21875,0.732650526,0.507122507
419,102,2.2594883,174,0.289772727,0.783024593,0.475783476
420,154,2.3559322,202,0.4375,0.822231171,0.555555556
421,152,2.3332648,190,0.431818182,0.813016372,0.521367521
422,33,1.9323636,146,0.09375,0.650041167,0.396011396
423,28,1.8391043,142,0.079545455,0.612129199,0.384615385
424,57,2.0789747,151,0.161931818,0.709641822,0.41025641
425,40,2.040309,136,0.113636364,0.693923359,0.367521368
426,48,2.0326941,136,0.136363636,0.690827734,0.367521368
427,61,2.0789747,132,0.173295455,0.709641822,0.356125356
428,28,1.7812788,109,0.079545455,0.588621854,0.290598291
429,12,1.2222222,26,0.034090909,0.361352981,0.054131054
430,0,0.90925324,56,0,0.234124177,0.13960114
431,28,1.6700469,83,0.079545455,0.543403627,0.216524217
432,34,1.7265038,90,0.096590909,0.566354605,0.236467236
433,8,1.1708162,67,0.022727273,0.340455305,0.170940171
434,8,1,31,0.022727273,0.271014742,0.068376068
435,12,1.2222222,26,0.034090909,0.361352981,0.054131054
436,8,1,31,0.022727273,0.271014742,0.068376068
437,8,1.1708162,67,0.022727273,0.340455305,0.170940171
438,39,1.7265038,90,0.110795455,0.566354605,0.236467236
439,32,1.6700469,83,0.090909091,0.543403627,0.216524217
440,0,0.90925324,56,0,0.234124177,0.13960114
441,56,2.2271631,165,0.159090909,0.769883684,0.45014245
442,30,1.6597091,146,0.085227273,0.539201082,0.396011396
443,14,1.3592209,97,0.039772727,0.417045983,0.256410256
444,12,1.2906152,71,0.034090909,0.389156249,0.182336182
445,26,1.7257152,86,0.073863636,0.566034022,0.225071225
446,48,1.8369439,93,0.136363636,0.611250948,0.245014245
447,20,1.4896638,78,0.056818182,0.470073907,0.202279202
448,18,1.4028426,69,0.051136364,0.434779169,0.176638177
449,22,1.4803609,74,0.0625,0.466292072,0.190883191
450,30,1.7265038,95,0.085227273,0.566354605,0.250712251
451,56,1.8900454,105,0.159090909,0.632837883,0.279202279
452,17,1.6071428,88,0.048295455,0.517831719,0.230769231
453,13,1.4896638,86,0.036931818,0.470073907,0.225071225
454,34,1.6741856,101,0.096590909,0.5450861,0.267806268
455,36,1.6741856,100,0.102272727,0.5450861,0.264957265
456,24,1.5688319,96,0.068181818,0.50225749,0.253561254
457,32,1.7841618,115,0.090909091,0.589793857,0.307692308
458,46,1.9491093,112,0.130681818,0.656848664,0.299145299
459,28,1.7269484,97,0.079545455,0.566535345,0.256410256
460,16,1.4028426,75,0.045454545,0.434779169,0.193732194
