Ref,Choice R3,Integration [HH] R3,Total Depth R3,Choice R3,Integration [HH] R3,Total Depth R3
361,4,0.70398736,7,0.03030303,0.179108795,0.010204082
362,0,0.33333334,6,0,0,0
363,14,1.3057258,23,0.106060606,0.469883051,0.173469388
364,8,1,20,0.060606061,0.322149109,0.142857143
365,6,0.8619656,15,0.045454545,0.25544762,0.091836735
366,6,0.84912294,12,0.045454545,0.249241742,0.06122449
367,6,0.84912294,12,0.045454545,0.249241742,0.06122449
368,6,0.8619656,15,0.045454545,0.25544762,0.091836735
369,8,1,20,0.060606061,0.322149109,0.142857143
370,14,1.3057258,23,0.106060606,0.469883051,0.173469388
371,36,1.6666666,48,0.272727273,0.644298188,0.428571429
372,16,1.3938289,37,0.121212121,0.512456554,0.316326531
373,8,1.0445806,26,0.060606061,0.34369151,0.204081633
374,8,1,20,0.060606061,0.322149109,0.142857143
375,12,1.2052853,24,0.090909091,0.421347824,0.183673469
376,0,1.1058542,22,0,0.373300363,0.163265306
377,24,1.4864661,27,0.181818182,0.557221042,0.214285714
378,36,1.7217885,33,0.272727273,0.670934395,0.275510204
379,11,1.4666082,39,0.083333333,0.547625234,0.336734694
380,11,1.4644111,33,0.083333333,0.546563544,0.275510204
381,30,1.6734514,42,0.227272727,0.647576764,0.367346939
382,32,1.606352,40,0.242424242,0.615152746,0.346938776
383,0,1.1,19,0,0.370471475,0.132653061
384,28,1.6008096,26,0.212121212,0.612474527,0.204081633
385,40,1.7379411,44,0.303030303,0.678739714,0.387755102
386,0,0.42239243,9,0,0.04303546,0.030612245
387,6,0.91666669,21,0.045454545,0.281880481,0.153061224
388,18,1.4666082,39,0.136363636,0.547625234,0.336734694
389,32,1.606352,40,0.242424242,0.615152746,0.346938776
390,0,0.73918515,20,0,0.1961172,0.142857143
391,14,1.4244281,22,0.106060606,0.527242812,0.163265306
392,14,1.3076391,32,0.106060606,0.470807603,0.265306122
393,8,1,20,0.060606061,0.322149109,0.142857143
394,6,0.8619656,15,0.045454545,0.25544762,0.091836735
395,6,0.84912294,12,0.045454545,0.249241742,0.06122449
396,6,0.8870222,18,0.045454545,0.267555562,0.12244898
397,10,1.1365665,28,0.075757576,0.388141274,0.224489796
398,22,1.6037242,43,0.166666667,0.613882931,0.37755102
399,32,1.6812503,28,0.242424242,0.651345377,0.224489796
400,18,1.4028426,40,0.136363636,0.516812187,0.346938776
401,20,1.4896638,48,0.151515152,0.558766246,0.428571429
402,0,1.2552096,36,0,0.445472428,0.306122449
403,36,1.6828449,39,0.272727273,0.652115926,0.336734694
404,11,1.4635203,36,0.083333333,0.546133088,0.306122449
405,14,1.6261337,34,0.106060606,0.624711732,0.285714286
406,16,1.5405476,35,0.121212121,0.583354503,0.295918367
407,23,1.7217885,33,0.174242424,0.670934395,0.275510204
408,36,1.6734514,42,0.272727273,0.647576764,0.367346939
409,48,1.8416041,54,0.363636364,0.728832129,0.489795918
410,0,0.91666669,21,0,0.281880481,0.153061224
411,0,0.91666669,21,0,0.281880481,0.153061224
412,0,1.2123377,27,0,0.424755711,0.214285714
413,28,1.5448366,47,0.212121212,0.585427049,0.418367347
414,16,1.375,17,0.121212121,0.503357984,0.112244898
415,12,1.1492875,13,0.090909091,0.394288362,0.071428571
416,24,1.4644111,33,0.181818182,0.546563544,0.275510204
417,34,1.7909094,49,0.257575758,0.70433525,0.43877551
418,28,1.6249448,58,0.212121212,0.624137227,0.530612245
419,34,1.7909094,49,0.257575758,0.70433525,0.43877551
420,28,1.6178579,55,0.212121212,0.620712669,0.5
421,53,1.9341822,47,0.401515152,0.773568058,0.418367347
422,21,1.6474625,31,0.159090909,0.635018313,0.255102041
423,15,1.6812503,28,0.113636364,0.651345377,0.224489796
424,22,1.7217885,33,0.166666667,0.670934395,0.275510204
425,23,1.7217885,33,0.174242424,0.670934395,0.275510204
426,7,1.6261337,34,0.053030303,0.624711732,0.285714286
427,24,1.6981779,36,0.181818182,0.659525194,0.306122449
