Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
356,32,1.7821976,101,0.05015674,0.557510533,0.222748815
357,0,1.5448366,86,0,0.466176057,0.187203791
358,0,1.2906152,80,0,0.368353844,0.172985782
359,17,1.6684235,93,0.026645768,0.513731236,0.203791469
360,32,1.6261337,73,0.05015674,0.497458483,0.156398104
361,12,1.2123377,47,0.018808777,0.338233334,0.09478673
362,8,1,31,0.012539185,0.256527609,0.056872038
363,8,1,28,0.012539185,0.256527609,0.049763033
364,12,1.2222222,29,0.018808777,0.342036805,0.052132701
365,18,1.4028426,71,0.028213166,0.411537985,0.151658768
366,16,1.3076391,53,0.02507837,0.374904495,0.109004739
367,16,1.3006579,44,0.02507837,0.372218189,0.087677725
368,16,1.3076391,51,0.02507837,0.374904495,0.104265403
369,20,1.3873369,55,0.031347962,0.405571524,0.113744076
370,24,1.5365106,69,0.037617555,0.462972284,0.146919431
371,21,1.5365106,68,0.032915361,0.462972284,0.144549763
372,19,1.4635203,59,0.029780564,0.434886243,0.123222749
373,14,1.31797,57,0.021943574,0.378879736,0.118483412
374,8,1.0445806,44,0.012539185,0.273681842,0.087677725
375,10,1.1561403,48,0.015673981,0.316609057,0.097156398
376,22,1.6261337,53,0.034482759,0.497458483,0.109004739
377,54,1.9633191,59,0.084639498,0.627204532,0.123222749
378,26,1.7288883,102,0.040752351,0.536997572,0.225118483
379,51,1.8900454,107,0.079937304,0.599009441,0.236966825
380,37,1.7288883,105,0.05799373,0.536997572,0.232227488
381,52,1.8880572,136,0.081504702,0.598244398,0.305687204
382,49,1.9304764,131,0.076802508,0.614566943,0.293838863
383,36,1.7820429,107,0.056426332,0.557451006,0.236966825
384,18,1.5226898,104,0.028213166,0.457654159,0.22985782
385,12,1.3272201,89,0.018808777,0.382439096,0.194312796
386,26,1.7307693,84,0.040752351,0.537721364,0.182464455
387,50,2.0708582,84,0.078369906,0.668584654,0.182464455
388,26,1.7307693,80,0.040752351,0.537721364,0.172985782
389,12,1.2906152,70,0.018808777,0.368353844,0.1492891
390,14,1.3006579,47,0.021943574,0.372218189,0.09478673
