Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
268,26,1.7325417,101,0.019345238,0.503398687,0.161512027
269,28,1.7820429,92,0.020833333,0.521207928,0.14604811
270,26,1.7265038,85,0.019345238,0.501226408,0.134020619
271,10,1.2196002,72,0.007440476,0.318855709,0.111683849
272,8,1.0697098,46,0.005952381,0.264929051,0.067010309
273,12,1.2726263,60,0.008928571,0.337933117,0.091065292
274,51,1.9051077,74,0.037946429,0.565483435,0.115120275
275,26,1.7269484,70,0.019345238,0.501386364,0.108247423
276,10,1.1768752,54,0.007440476,0.303484368,0.080756014
277,6,0.91666669,39,0.004464286,0.20986813,0.054982818
278,6,0.8870222,31,0.004464286,0.199202816,0.041237113
279,6,0.8619656,26,0.004464286,0.190188104,0.032646048
280,8,1.0952908,52,0.005952381,0.274132428,0.077319588
281,22,1.6071428,68,0.016369048,0.458283432,0.104810997
282,16,1.7269484,70,0.011904762,0.501386364,0.108247423
283,20,1.5448366,66,0.014880952,0.435867286,0.10137457
284,8,1.0697098,46,0.005952381,0.264929051,0.067010309
285,6,0.8619656,25,0.004464286,0.190188104,0.030927835
286,10,1.1768752,48,0.007440476,0.303484368,0.070446735
287,10,1.2829794,81,0.007440476,0.341657893,0.127147766
288,6,0.91666669,41,0.004464286,0.20986813,0.058419244
289,8,1.1208336,53,0.005952381,0.283322061,0.079037801
290,39,1.6741856,85,0.029017857,0.482403684,0.134020619
291,37,1.6926663,99,0.027529762,0.489052558,0.158075601
292,12,1.4166186,96,0.008928571,0.389737793,0.152920962
293,54,1.8369439,83,0.040178571,0.540959877,0.130584192
294,10,1.2196002,60,0.007440476,0.318855709,0.091065292
295,6,0.91666669,34,0.004464286,0.20986813,0.046391753
296,8,1.0207884,34,0.005952381,0.247328407,0.046391753
297,26,1.3845592,46,0.019345238,0.378203656,0.067010309
298,0,0.73918515,28,0,0.1460149,0.036082474
299,0,0.73918515,29,0,0.1460149,0.037800687
300,26,1.3873369,48,0.019345238,0.379203,0.070446735
301,8,1.0207884,35,0.005952381,0.247328407,0.048109966
302,6,0.91666669,34,0.004464286,0.20986813,0.046391753
303,10,1.2196002,60,0.007440476,0.318855709,0.091065292
304,55,1.8369439,83,0.040922619,0.540959877,0.130584192
305,12,1.4166186,96,0.008928571,0.389737793,0.152920962
306,36,1.6926663,99,0.026785714,0.489052558,0.158075601
307,38,1.6741856,85,0.02827381,0.482403684,0.134020619
308,8,1.1208336,53,0.005952381,0.283322061,0.079037801
309,6,0.91666669,41,0.004464286,0.20986813,0.058419244
310,10,1.2829794,81,0.007440476,0.341657893,0.127147766
311,0,1.31797,47,0,0.354246598,0.068728522
312,0,1.2241485,44,0,0.320492069,0.063573883
313,10,1.1,31,0.007440476,0.275826675,0.041237113
314,16,1.3845592,46,0.011904762,0.378203656,0.067010309
315,6,0.8870222,26,0.004464286,0.199202816,0.032646048
316,6,0.9792943,48,0.004464286,0.232399912,0.070446735
317,18,1.4635203,49,0.013392857,0.406611801,0.072164948
318,10,1.1058542,37,0.007440476,0.277932864,0.051546392
319,10,1.2196002,70,0.007440476,0.318855709,0.108247423
320,30,1.8344558,96,0.022321429,0.540064723,0.152920962
321,127,2.4023979,111,0.094494048,0.744395483,0.178694158
322,30,1.8369439,93,0.022321429,0.540959877,0.147766323
323,8,1.1208336,65,0.005952381,0.283322061,0.099656357
324,0,0.49860358,25,0,0.059459923,0.030927835
325,0,0.33333334,7,0,0,0
326,4,0.70398736,11,0.00297619,0.133351653,0.006872852
327,6,0.8619656,29,0.004464286,0.190188104,0.037800687
328,10,1.2196002,69,0.007440476,0.318855709,0.10652921
329,30,1.8344558,94,0.022321429,0.540064723,0.149484536
330,133,2.4023979,108,0.098958333,0.744395483,0.173539519
331,30,1.8344558,94,0.022321429,0.540064723,0.149484536
332,10,1.2196002,70,0.007440476,0.318855709,0.108247423
333,6,0.8870222,34,0.004464286,0.199202816,0.046391753
334,26,1.7379411,76,0.019345238,0.50534125,0.118556701
335,49,2.0708582,85,0.036458333,0.625116143,0.134020619
336,26,1.7379411,77,0.019345238,0.50534125,0.120274914
337,10,1.1768752,58,0.007440476,0.303484368,0.087628866
338,6,0.8870222,32,0.004464286,0.199202816,0.042955326
339,6,0.8870222,32,0.004464286,0.199202816,0.042955326
340,10,1.1768752,59,0.007440476,0.303484368,0.089347079
341,26,1.7307693,80,0.019345238,0.502761024,0.125429553
342,46,2.0462267,87,0.03422619,0.616254372,0.137457045
343,26,1.7269484,83,0.019345238,0.501386364,0.130584192
344,6,0.8870222,34,0.004464286,0.199202816,0.046391753
345,10,1.1768752,61,0.007440476,0.303484368,0.092783505
346,6,0.9792943,59,0.004464286,0.232399912,0.089347079
347,18,1.2726263,52,0.013392857,0.337933117,0.077319588
348,12,1.2726263,69,0.008928571,0.337933117,0.10652921
349,40,1.5365106,60,0.029761905,0.432871808,0.091065292
350,12,1.2241485,41,0.008928571,0.320492069,0.058419244
351,12,1.4337122,129,0.008928571,0.395887624,0.209621993
352,117,2.2796025,335,0.087053571,0.7002169,0.563573883
353,6,0.87255627,11,0.004464286,0.193998351,0.006872852
354,6,0.8619656,19,0.004464286,0.190188104,0.020618557
355,6,0.84912294,16,0.004464286,0.18556765,0.015463918
356,6,0.8619656,18,0.004464286,0.190188104,0.018900344
357,8,1,24,0.005952381,0.239849283,0.029209622
358,22,1.3006579,35,0.016369048,0.348018156,0.048109966
359,8,1,24,0.005952381,0.239849283,0.029209622
360,6,0.8619656,18,0.004464286,0.190188104,0.018900344
361,6,0.84912294,15,0.004464286,0.18556765,0.013745704
362,6,0.84912294,14,0.004464286,0.18556765,0.012027491
363,6,0.84912294,13,0.004464286,0.18556765,0.010309278
364,8,0.98558021,23,0.005952381,0.234661418,0.027491409
365,64,1.8337219,103,0.047619048,0.539800685,0.164948454
366,27,1.6503496,97,0.020089286,0.473828113,0.154639175
367,32,1.6178579,85,0.023809524,0.462138446,0.134020619
368,5,1.1208336,53,0.003720238,0.283322061,0.079037801
369,9,1.1191936,39,0.006696429,0.282732032,0.054982818
370,42,1.5365106,59,0.03125,0.432871808,0.089347079
371,29,1.471094,46,0.021577381,0.409336621,0.067010309
372,15,1.3006579,35,0.011160714,0.348018156,0.048109966
373,12,1.2052853,31,0.008928571,0.313705581,0.041237113
374,63,2.0598946,154,0.046875,0.621171726,0.25257732
375,14,1.3057258,32,0.010416667,0.349841454,0.042955326
376,19,1.3057258,44,0.014136905,0.349841454,0.063573883
377,10,1.3995763,100,0.007440476,0.383606417,0.159793814
378,14,1.6144457,173,0.010416667,0.460910825,0.285223368
379,183,2.4707587,391,0.136160714,0.768989917,0.659793814
380,191,2.4454353,428,0.142113095,0.759879218,0.723367698
381,96,2.4054189,358,0.071428571,0.74548236,0.603092784
382,136,2.3216503,314,0.101190476,0.715344602,0.527491409
383,49,1.9040805,179,0.036458333,0.565113875,0.295532646
384,46,1.7914909,116,0.03422619,0.524607072,0.187285223
385,23,1.9040805,149,0.017113095,0.565113875,0.243986254
386,36,1.8839605,127,0.026785714,0.557875224,0.206185567
387,22,1.5110798,83,0.016369048,0.42372247,0.130584192
388,23,1.471094,58,0.017113095,0.409336621,0.087628866
389,14,1.3076391,64,0.010416667,0.35052981,0.097938144
390,141,2.2735622,180,0.104910714,0.698043757,0.297250859
391,16,1.507236,115,0.011904762,0.422339571,0.18556701
392,18,1.6546941,143,0.013392857,0.47539115,0.233676976
393,54,1.8649745,166,0.040178571,0.551044556,0.273195876
394,21,1.5448366,88,0.015625,0.435867286,0.139175258
395,21,1.5395753,73,0.015625,0.433974408,0.113402062
396,28,1.6118186,81,0.020833333,0.459965663,0.127147766
397,61,1.8833622,110,0.045386905,0.557659971,0.176975945
398,119,2.1456218,104,0.088541667,0.652014137,0.166666667
399,12,1.2222222,24,0.008928571,0.319799036,0.029209622
400,8,0.98558021,26,0.005952381,0.234661418,0.032646048
401,6,1.0102814,41,0.004464286,0.243548262,0.058419244
402,16,1.4791844,76,0.011904762,0.412247336,0.118556701
403,10,1.1768752,52,0.007440476,0.303484368,0.077319588
404,26,1.7269484,70,0.019345238,0.501386364,0.108247423
405,94,2.2004662,82,0.069940476,0.671745722,0.128865979
406,6,0.8619656,27,0.004464286,0.190188104,0.034364261
407,4,0.70398736,13,0.00297619,0.133351653,0.010309278
408,0,0.33333334,7,0,0,0
409,0,0.33333334,7,0,0,0
410,4,0.70398736,11,0.00297619,0.133351653,0.006872852
411,88,2.1294835,82,0.06547619,0.646207998,0.128865979
412,14,1.3746208,63,0.010416667,0.374628079,0.096219931
413,6,0.91666669,33,0.004464286,0.20986813,0.04467354
414,0,0.63684219,16,0,0.109194571,0.015463918
415,14,1.3443909,67,0.010416667,0.363752149,0.103092784
416,69,1.9051077,82,0.051339286,0.565483435,0.128865979
417,66,2.0269725,84,0.049107143,0.609327212,0.132302405
418,62,1.8861139,97,0.046130952,0.558649961,0.154639175
419,10,1.2196002,64,0.007440476,0.318855709,0.097938144
420,10,1.2829794,103,0.007440476,0.341657893,0.164948454
421,32,1.9261212,201,0.023809524,0.573043544,0.333333333
422,100,2.3333955,273,0.074404762,0.719570219,0.457044674
423,105,2.4713523,312,0.078125,0.769203478,0.524054983
424,10,1.2621337,98,0.007440476,0.334158153,0.156357388
425,6,0.91666669,30,0.004464286,0.20986813,0.0395189
426,8,0.98510355,20,0.005952381,0.234489928,0.02233677
427,14,1.1,29,0.010416667,0.275826675,0.037800687
428,12,1.2552096,51,0.008928571,0.331667043,0.075601375
429,35,1.7307693,68,0.026041667,0.502761024,0.104810997
430,50,1.8,74,0.037202381,0.527668425,0.115120275
431,14,1.3443909,68,0.010416667,0.363752149,0.104810997
432,14,1.4221928,82,0.010416667,0.391743244,0.128865979
433,10,1.1365665,44,0.007440476,0.288982349,0.063573883
434,47,1.7288883,91,0.034970238,0.502084289,0.144329897
435,18,1.4803609,73,0.013392857,0.41267061,0.113402062
436,10,1.1981546,61,0.007440476,0.311140141,0.092783505
437,16,1.4028426,70,0.011904762,0.384781547,0.108247423
438,22,1.5395753,76,0.016369048,0.433974408,0.118556701
439,26,1.6700469,88,0.019345238,0.480914688,0.139175258
440,22,1.6071428,80,0.016369048,0.458283432,0.125429553
441,10,1.1561403,55,0.007440476,0.296024492,0.082474227
442,8,1.1460608,57,0.005952381,0.29239815,0.085910653
443,38,1.6178579,78,0.02827381,0.462138446,0.121993127
444,10,1.2409762,63,0.007440476,0.326546237,0.096219931
445,40,1.7555087,112,0.029761905,0.511661615,0.180412371
446,53,1.8470125,120,0.039434524,0.544582296,0.194158076
447,82,2.0595157,143,0.061011905,0.621035407,0.233676976
448,73,1.9768722,141,0.054315476,0.591302431,0.23024055
449,38,1.787379,119,0.02827381,0.523127718,0.192439863
450,69,1.8833622,125,0.051339286,0.557659971,0.202749141
451,69,1.8833622,114,0.051339286,0.557659971,0.183848797
452,22,1.6597091,128,0.016369048,0.477195417,0.20790378
453,12,1.3455029,80,0.008928571,0.364152218,0.125429553
454,282,2.5746148,288,0.209821429,0.806354634,0.482817869
455,32,1.8699054,191,0.023809524,0.552818565,0.316151203
456,50,1.8628219,139,0.037202381,0.550270106,0.226804124
457,58,1.8470125,118,0.043154762,0.544582296,0.190721649
458,60,1.8833622,101,0.044642857,0.557659971,0.161512027
459,53,1.8344153,100,0.039434524,0.540050152,0.159793814
460,34,1.5598243,89,0.025297619,0.44125947,0.140893471
